"Parasite","Host","DetectionMethod","DetectionQuality","ReferenceText","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","PublicationYear","ParasiteType","Database","Host_AsReported","Parasite_AsReported","Parasite_og","PathogenName_Harmonised","PathogenName_Harm2","PathogenType"
"rabies","pseudalopex vetulus","Isolation",2,"Silva et al. 2009","CARNIVORA","CANIDAE","Pseudalopex","vetulus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2009,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"peste-des-petits-ruminants","pseudois nayaur","PCR",2,"Bao et al. 2011","CETARTIODACTYLA","BOVIDAE","Pseudois","nayaur","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15948,0,0,0,2011,"virus","HP3","","","peste-des-petits-ruminants virus","peste-des-petits-ruminants","peste-des-petits-ruminants virus","virus"
"dengue","pteronotus davyi","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1978,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"ilheus","pteronotus davyi","Antibodies",0,"Price et al. 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"virus","HP3","","","ilheus virus","ilheus","ilheus virus","virus"
"rabies","pteronotus davyi","Isolation",2,"Goodwin & Greenhall 1961","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1961,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"rio bravo","pteronotus davyi","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10140,0,1,0,1978,"virus","HP3","","","rio bravo virus","rio bravo","rio bravo virus","virus"
"st. louis encephalitis","pteronotus davyi","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1978,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"tamana bat","pteronotus davyi","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10428,0,0,0,1978,"virus","HP3","","","tamana bat virus","tamana bat","tamana bat virus","virus"
"yellow fever","pteronotus davyi","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","davyi","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1978,"virus","HP3","","","yellow fever virus","yellow fever","yellow fever virus","virus"
"bimiti","pteronotus parnellii","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12102,0,0,0,1978,"virus","HP3","","","bimiti virus","bimiti","bimiti virus","virus"
"dengue","pteronotus parnellii","Antibodies",0,"Aguilar-Setien et al. 2008","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,2008,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"ilheus","pteronotus parnellii","Antibodies",0,"Price et al. 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"virus","HP3","","","ilheus virus","ilheus","ilheus virus","virus"
"rabies","pteronotus parnellii","Antibodies",0,"Salas-Rojas et al. 2004","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2004,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"rio bravo","pteronotus parnellii","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10140,0,1,0,1978,"virus","HP3","","","rio bravo virus","rio bravo","rio bravo virus","virus"
"st. louis encephalitis","pteronotus parnellii","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1978,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"tamana bat","pteronotus parnellii","Isolation",2,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10428,0,0,0,1978,"virus","HP3","","","tamana bat virus","tamana bat","tamana bat virus","virus"
"yellow fever","pteronotus parnellii","Antibodies",0,"Price 1978","CHIROPTERA","MORMOOPIDAE","Pteronotus","parnellii","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1978,"virus","HP3","","","yellow fever virus","yellow fever","yellow fever virus","virus"
"hendra","pteropus admiralitatum","Antibodies",0,"Field et al. unpub in Mackenzie 1999","CHIROPTERA","PTEROPODIDAE","Pteropus","admiralitatum","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,1999,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"australian bat lyssavirus","pteropus alecto","Isolation",2,"Speare et al. 1997","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11822,0,1,1,1997,"virus","HP3","","","australian bat lyssavirus","australian bat lyssavirus","australian bat lyssavirus","virus"
"dengue","pteropus alecto","Antibodies",0,"O'Connor et al. 1955","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1955,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"hendra","pteropus alecto","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,2006,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"japanese encephalitis","pteropus alecto","Antibodies",0,"Rowan & O'Connor 1957","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10976,0,1,0,1957,"virus","HP3","","","japanese encephalitis virus","japanese encephalitis","japanese encephalitis virus","virus"
"menangle","pteropus alecto","Isolation",2,"Wong et al. 2007; Philbey et al. 1998","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15516,0,1,0,1998,"virus","HP3","","","menangle virus","menangle","menangle virus","virus"
"murray valley encephalitis","pteropus alecto","Antibodies",0,"Geevarghese & Banerjee 1990","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11014,0,1,0,1990,"virus","HP3","","","murray valley encephalitis virus","murray valley encephalitis","murray valley encephalitis virus","virus"
"ross river","pteropus alecto","Antibodies",0,"http://www.cfsph.iastate.edu/Factsheets/pdfs/menangle..pdf","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11657,0,1,1,NA,"virus","HP3","","","ross river virus","ross river","ross river virus","virus"
"sindbis","pteropus alecto","Antibodies",0,"Barman et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11703,0,1,0,2006,"virus","HP3","","","sindbis virus","sindbis","sindbis virus","virus"
"west nile","pteropus alecto","Antibodies",0,"Rowan & O'Conner 1957","CHIROPTERA","PTEROPODIDAE","Pteropus","alecto","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11029,0,1,1,1957,"virus","HP3","","","west nile virus","west nile","west nile virus","virus"
"hendra","pteropus capistratus","Antibodies",0,"Field et al. unpub in Mackenzie 1999","CHIROPTERA","PTEROPODIDAE","Pteropus","capistratus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,1999,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"australian bat lyssavirus","pteropus conspicillatus","Isolation",2,"Wong et al. 2007; Mackenzie et al. 2001","CHIROPTERA","PTEROPODIDAE","Pteropus","conspicillatus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11822,0,1,1,2001,"virus","HP3","","","australian bat lyssavirus","australian bat lyssavirus","australian bat lyssavirus","virus"
"hendra","pteropus conspicillatus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","conspicillatus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,2006,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"menangle","pteropus conspicillatus","Antibodies",0,"Philbey et al. 2008","CHIROPTERA","PTEROPODIDAE","Pteropus","conspicillatus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15516,0,1,0,2008,"virus","HP3","","","menangle virus","menangle","menangle virus","virus"
"aravan","pteropus giganteus","antigen",0,"Kuzmin et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","giganteus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11918,0,0,0,2006,"virus","HP3","","","aravan virus","aravan","aravan virus","virus"
"khujand","pteropus giganteus","antigen",0,"Kuzmin et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","giganteus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11903,0,0,0,2006,"virus","HP3","","","khujand virus","khujand","khujand virus","virus"
"nipah","pteropus giganteus","PCR",2,"Hsu et al. 2004","CHIROPTERA","PTEROPODIDAE","Pteropus","giganteus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,2004,"virus","HP3","","","nipah virus","nipah","nipah virus","virus"
"australian bat lyssavirus","pteropus hypomelanus","Antibodies",0,"Arguin et al. 2002","CHIROPTERA","PTEROPODIDAE","Pteropus","hypomelanus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11822,0,1,1,2002,"virus","HP3","","","australian bat lyssavirus","australian bat lyssavirus","australian bat lyssavirus","virus"
"hendra","pteropus hypomelanus","Antibodies",0,"Field et al. unpub in Mackenzie 1999","CHIROPTERA","PTEROPODIDAE","Pteropus","hypomelanus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,1999,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"nipah","pteropus hypomelanus","Isolation",2,"Calisher et al.; http://www.uniprot.org/uniprot/Q2A069","CHIROPTERA","PTEROPODIDAE","Pteropus","hypomelanus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,NA,"virus","HP3","","","nipah virus","nipah","nipah virus","virus"
"tioman","pteropus hypomelanus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","hypomelanus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15522,0,1,0,2006,"virus","HP3","","","tioman virus","tioman","tioman virus","virus"
"aravan","pteropus lylei","Antibodies",0,"Lumlertdacha et al. 2005","CHIROPTERA","PTEROPODIDAE","Pteropus","lylei","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11918,0,0,0,2005,"virus","HP3","","","aravan virus","aravan","aravan virus","virus"
"australian bat lyssavirus","pteropus lylei","Antibodies",0,"Lumlertdacha et al. 2005","CHIROPTERA","PTEROPODIDAE","Pteropus","lylei","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11822,0,1,1,2005,"virus","HP3","","","australian bat lyssavirus","australian bat lyssavirus","australian bat lyssavirus","virus"
"irkut","pteropus lylei","Antibodies",0,"Lumlertdacha et al. 2005","CHIROPTERA","PTEROPODIDAE","Pteropus","lylei","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11980,0,0,0,2005,"virus","HP3","","","irkut virus","irkut","irkut virus","virus"
"khujand","pteropus lylei","Antibodies",0,"Lumlertdacha et al. 2005","CHIROPTERA","PTEROPODIDAE","Pteropus","lylei","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11903,0,0,0,2005,"virus","HP3","","","khujand virus","khujand","khujand virus","virus"
"nipah","pteropus lylei","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","lylei","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,2006,"virus","HP3","","","nipah virus","nipah","nipah virus","virus"
"hendra","pteropus neohibernicus","Antibodies",0,"Halpin unpub in Mackenzie 1999","CHIROPTERA","PTEROPODIDAE","Pteropus","neohibernicus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,1999,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"australian bat lyssavirus","pteropus poliocephalus","Isolation",2,"Mackenzie 1999; Gould et al. 2002; Wong et al. 2007","CHIROPTERA","PTEROPODIDAE","Pteropus","poliocephalus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11822,0,1,1,1999,"virus","HP3","","","australian bat lyssavirus","australian bat lyssavirus","australian bat lyssavirus","virus"
"hendra","pteropus poliocephalus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","poliocephalus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,2006,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"menangle","pteropus poliocephalus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","poliocephalus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15516,0,1,0,2006,"virus","HP3","","","menangle virus","menangle","menangle virus","virus"
"nelson bay orthoreovirus","pteropus poliocephalus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","poliocephalus","Unassigned","Reoviridae",NA,"Orthoreovirus","DS","RNA","non-enveloped",TRUE,TRUE,23500,0,0,0,2006,"virus","HP3","","","nelson bay orthoreovirus","nelson bay orthoreovirus","nelson bay orthoreovirus","virus"
"rabies","pteropus poliocephalus","Isolation",2,"Pal et al. 1980","CHIROPTERA","PTEROPODIDAE","Pteropus","poliocephalus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1980,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"hendra","pteropus rufus","Antibodies",0,"Iehle et al. 2007","CHIROPTERA","PTEROPODIDAE","Pteropus","rufus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,2007,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"nipah","pteropus rufus","Antibodies",0,"Iehle et al. 2007","CHIROPTERA","PTEROPODIDAE","Pteropus","rufus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,2007,"virus","HP3","","","nipah virus","nipah","nipah virus","virus"
"tioman","pteropus rufus","Antibodies",0,"Iehle et al. 2007","CHIROPTERA","PTEROPODIDAE","Pteropus","rufus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15522,0,1,0,2007,"virus","HP3","","","tioman virus","tioman","tioman virus","virus"
"australian bat lyssavirus","pteropus scapulatus","Isolation",2,"Speare et al. 1997","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11822,0,1,1,1997,"virus","HP3","","","australian bat lyssavirus","australian bat lyssavirus","australian bat lyssavirus","virus"
"dengue","pteropus scapulatus","Antibodies",0,"O'Connor et al. 1955","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1955,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"hendra","pteropus scapulatus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18234,0,1,1,2006,"virus","HP3","","","hendra virus","hendra","hendra virus","virus"
"japanese encephalitis","pteropus scapulatus","Antibodies",0,"Calisher et al. 2006; Sulkin & Allen 1974; Rowan & O'Connor 1957","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10976,0,1,0,1957,"virus","HP3","","","japanese encephalitis virus","japanese encephalitis","japanese encephalitis virus","virus"
"menangle","pteropus scapulatus","Antibodies",0,"Philbey et al. 2008","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15516,0,1,0,2008,"virus","HP3","","","menangle virus","menangle","menangle virus","virus"
"murray valley encephalitis","pteropus scapulatus","Antibodies",0,"Sulkin & Allen 1974; Rowan & O'Connor 1957","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11014,0,1,0,1957,"virus","HP3","","","murray valley encephalitis virus","murray valley encephalitis","murray valley encephalitis virus","virus"
"west nile","pteropus scapulatus","Antibodies",0,"Sulkin & Allen 1974; Bunde et al. 2006; Rowan & O'Connor 1957","CHIROPTERA","PTEROPODIDAE","Pteropus","scapulatus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11029,0,1,1,1957,"virus","HP3","","","west nile virus","west nile","west nile virus","virus"
"nipah","pteropus vampyrus","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PTEROPODIDAE","Pteropus","vampyrus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Henipavirus","SS","RNA","enveloped",FALSE,TRUE,18246,0,1,1,2006,"virus","HP3","","","nipah virus","nipah","nipah virus","virus"
"tembusu","pteropus vampyrus","Antibodies",0,"Geevarghese & Banerjee 1990","CHIROPTERA","PTEROPODIDAE","Pteropus","vampyrus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10916,0,1,0,1990,"virus","HP3","","","tembusu virus","tembusu","tembusu virus","virus"
"bovine viral diarrhea virus 1","pudu puda","PCR",2,"Pizarro-Lucero et al. 2005","CETARTIODACTYLA","CERVIDAE","Pudu","puda","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,2005,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"felid herpesvirus 1","puma concolor","Antibodies",0,"Paul-Murphy et al. 1994","CARNIVORA","FELIDAE","Puma","concolor","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,135797,0,0,0,1994,"virus","HP3","","","felid herpesvirus 1","felid herpesvirus 1","felid herpesvirus 1","virus"
"feline calicivirus","puma concolor","Antibodies",0,"Roelke et al. 1993","CARNIVORA","FELIDAE","Puma","concolor","Unassigned","Caliciviridae",NA,"Vesivirus","SS","RNA","non-enveloped",FALSE,TRUE,7683,0,0,0,1993,"virus","HP3","","","feline calicivirus","feline calicivirus","feline calicivirus","virus"
"feline coronavirus","puma concolor","Antibodies",0,"Roelke et al. 1993","CARNIVORA","FELIDAE","Puma","concolor","Nidovirales","Coronaviridae",NA,"Coronavirus","SS","RNA","enveloped",FALSE,TRUE,30000,0,0,0,1993,"virus","HP3","","","feline coronavirus","feline coronavirus","feline coronavirus","virus"
"feline immunodeficiency","puma concolor","PCR",2,"Biek et al. 2006","CARNIVORA","FELIDAE","Puma","concolor","Unassigned","Retroviridae","Orthoretrovirinae","Lentivirus","SS","RNA","enveloped",FALSE,FALSE,9474,0,0,0,2006,"virus","HP3","","","feline immunodeficiency virus","feline immunodeficiency","feline immunodeficiency virus","virus"
"feline leukemia","puma concolor","PCR",2,"Cunningham et al. 2008","CARNIVORA","FELIDAE","Puma","concolor","Unassigned","Retroviridae","Orthoretrovirinae","Gammaretrovirus","SS","RNA","enveloped",FALSE,FALSE,8837,0,0,0,2008,"virus","HP3","","","feline leukemia virus","feline leukemia","feline leukemia virus","virus"
"feline panleukopenia","puma concolor","Antibodies",0,"Paul-Murphy et al. 1994","CARNIVORA","FELIDAE","Puma","concolor","Unassigned","Parvoviridae","Parvovirinae","Parvovirus","SS","DNA","non-enveloped",FALSE,FALSE,5323,0,0,0,1994,"virus","HP3","","","feline panleukopenia virus","feline panleukopenia","feline panleukopenia virus","virus"
"human picobirnavirus","puma concolor","PCR",2,"Gillman et al. 2012","CARNIVORA","FELIDAE","Puma","concolor","Unassigned","Picobirnaviridae",NA,"Picobirnavirus","DS","RNA","non-enveloped",TRUE,TRUE,4270,0,1,1,2012,"virus","HP3","","","human picobirnavirus","human picobirnavirus","human picobirnavirus","virus"
"puma lentivirus","puma concolor","Antibodies",0,"Evermann et al. 1997","CARNIVORA","FELIDAE","Puma","concolor","Unassigned","Retroviridae","Orthoretrovirinae","Lentivirus","SS","RNA","enveloped",FALSE,FALSE,9750,0,0,0,1997,"virus","HP3","","","puma lentivirus","puma lentivirus","puma lentivirus","virus"
"influenza a","pusa caspica","Antibodies",0,"Ohishi et al. 2006","CARNIVORA","PHOCIDAE","Pusa","caspica","Unassigned","Orthomyxoviridae",NA,"Influenzavirus A","SS","RNA","enveloped",TRUE,TRUE,13444.6,0,1,1,2006,"virus","HP3","","","influenza a virus","influenza a","influenza a virus","virus"
"influenza a","pusa hispida","Antibodies",0,"Ohishi et al. 2004","CARNIVORA","PHOCIDAE","Pusa","hispida","Unassigned","Orthomyxoviridae",NA,"Influenzavirus A","SS","RNA","enveloped",TRUE,TRUE,13444.6,0,1,1,2004,"virus","HP3","","","influenza a virus","influenza a","influenza a virus","virus"
"canine distemper","pusa sibirica","Isolation",2,"Mamaev et al. 1995","CARNIVORA","PHOCIDAE","Pusa","sibirica","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15690,0,1,1,1995,"virus","HP3","","","canine distemper virus","canine distemper","canine distemper virus","virus"
"influenza a","pusa sibirica","Antibodies",0,"Ohishi et al. 2004","CARNIVORA","PHOCIDAE","Pusa","sibirica","Unassigned","Orthomyxoviridae",NA,"Influenzavirus A","SS","RNA","enveloped",TRUE,TRUE,13444.6,0,1,1,2004,"virus","HP3","","","influenza a virus","influenza a","influenza a virus","virus"
"simian foamy","pygathrix nemaeus","PCR",2,"Hussain et al. 2003","PRIMATES","CERCOPITHECIDAE","Pygathrix","nemaeus","Unassigned","Retroviridae","Spumaretrovirinae","Spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,2003,"virus","HP3","","","simian foamy virus","simian foamy","simian foamy virus","virus"
"bluetongue","rangifer tarandus","ELISA",0,"Afshar et al. 1995","CETARTIODACTYLA","CERVIDAE","Rangifer","tarandus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1995,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"bovine herpesvirus 1","rangifer tarandus","VNT",1,"Zarnke 1983","CETARTIODACTYLA","CERVIDAE","Rangifer","tarandus","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,140000,0,0,0,1983,"virus","HP3","","","bovine herpesvirus 1","bovine herpesvirus 1","bovine herpesvirus 1","virus"
"bovine viral diarrhea virus 1","rangifer tarandus","PCR",2,"Becher et al. 1999","CETARTIODACTYLA","CERVIDAE","Rangifer","tarandus","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,1999,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"bunyamwera","rangifer tarandus","Isolation",2,"Calisher et al. 1986","CETARTIODACTYLA","CERVIDAE","Rangifer","tarandus","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12300,0,1,1,1986,"virus","HP3","","","bunyamwera virus","bunyamwera","bunyamwera virus","virus"
"cervid herpesvirus 2","rangifer tarandus","PCR",2,"das Neves et al. 2009","CETARTIODACTYLA","CERVIDAE","Rangifer","tarandus","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,125000,0,0,0,2009,"virus","HP3","","","cervid herpesvirus 2","cervid herpesvirus 2","cervid herpesvirus 2","virus"
"orf","rangifer tarandus","PCR",2,"Vikoren et al. 2008","CETARTIODACTYLA","CERVIDAE","Rangifer","tarandus","Unassigned","Poxviridae","Chordopoxvirinae","Parapoxvirus","DS","DNA","enveloped",FALSE,TRUE,139962,0,1,1,2008,"virus","HP3","","","orf virus","orf","orf virus","virus"
