"Parasite","Host","ReferenceText","pmid","doi","title_pubMed"
"dictyocaulus eckerti","alces alces","Gibbons and Hoglund 2002","12015823","10.1079/JOH2001108","Dictyocaulus capreolus n. sp. (Nematoda: Trichostrongyloidea) from roe deer, Capreolus capreolus and moose, Alces alces in Sweden."
"dictyocaulus eckerti","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"dictyocaulus sp.","alces alces","Hoglund et al 1999",NA,NA,NA
"dictyocaulus sp.","alces alces","Stuve 1986",NA,NA,NA
"dictyocaulus viviparus","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"dictyocaulus viviparus","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"dictyocaulus viviparus","alces alces","Pybus 1990","2250321","10.7589/0090-3558-26.4.453","Survey of hepatic and pulmonary helminths of wild cervids in Alberta, Canada."
"echinococcus granulosus","alces alces","Joly and Messier 2004","15232731","10.1007/s00442-004-1633-0","The distribution of Echinococcus granulosus in moose: evidence for parasite-induced vulnerability to predation by wolves?"
"echinococcus granulosus","alces alces","McNeill and Rau 1987","3625899","10.7589/0090-3558-23.3.418","Echinococcus granulosus (Cestoda: Taeniidae) infections in moose (Alces alces) from southwestern Quebec."
"echinococcus granulosus","alces alces","Moks et al 2008","18261256","10.1017/S0031182008004198","First report of Echinococcus granulosus G8 in Eurasia and a reappraisal of the phylogenetic relationships of 'genotypes' G5-G10."
"echinococcus granulosus","alces alces","Pybus 1990","2250321","10.7589/0090-3558-26.4.453","Survey of hepatic and pulmonary helminths of wild cervids in Alberta, Canada."
"echinococcus granulosus","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"elaphostrongylus alces","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"elaphostrongylus alces","alces alces","Handeland and Gibbons 2001",NA,NA,NA
"elaphostrongylus alces","alces alces","Lankester et al 1998",NA,NA,NA
"elaphostrongylus alces","alces alces","Steen et al 1989","2735702","10.1051/parasite/1989642134","Species of the genus Elaphostrongylus parasite of Swedish cervidae. A description of E. alces n. sp."
"elaphostrongylus alces","alces alces","Steen et al 2005",NA,NA,NA
"elaphostrongylus cervi","alces alces","Stuve 1986",NA,NA,NA
"elaphostrongylus cervi","alces alces","Stuve 1987",NA,NA,NA
"elaphostrongylus rangiferi","alces alces","Handeland 2002","12528451","10.7589/0090-3558-38.4.817","Cerebrospinal nematodiasis in a moose in Norway."
"elaphostrongylus rangiferi","alces alces","Lankester and Fong 1998",NA,NA,NA
"elaphostrongylus sp.","alces alces","Halvorsen et al 1989",NA,NA,NA
"enterococcus sp.","alces alces","Kemper et al 2004",NA,NA,NA
"erysipelothrix rhusiopathiae","alces alces","Campbell et al 1994","7933291","10.7589/0090-3558-30.3.436","Erysipelothrix rhusiopathiae, serotype 17, septicemia in moose (Alces alces) from Algonquin park, Ontario."
"escherichia coli","alces alces","Kemper et al 2004",NA,NA,NA
"fasciola hepatica","alces alces","Aukstikalniene et al. 2007",NA,NA,NA
"fasciola hepatica","alces alces","Shimalov and Shimalov 2000a",NA,NA,NA
"fasciola hepatica","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"fascioloides magna","alces alces","Pybus 1990","2250321","10.7589/0090-3558-26.4.453","Survey of hepatic and pulmonary helminths of wild cervids in Alberta, Canada."
"fascioloides magna","alces alces","Wobeser et al 1985",NA,NA,NA
"tick-borne encephalitis","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"fusobacterium necrophorum","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"giardia intestinalis","alces alces","Hamnes et al 2006","16797126","10.1016/j.vetpar.2006.05.004","Prevalence of Cryptosporidium and Giardia in free-ranging wild cervids in Norway."
"klebsiella pneumoniae","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"leptospira interrogans","alces alces","Kocan et al 1986b",NA,NA,NA
"liorchis scotiae","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"alcelaphine gammaherpesvirus 1","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"alcelaphine gammaherpesvirus 1","alces alces","Vikoren et al. 2006","17255446","10.7589/0090-3558-42.4.797","Malignant catarrhal fever in free-ranging cervids associated with OvHV-2 and CpHV-2 DNA."
"alcelaphine gammaherpesvirus 1","alces alces","Warsame and Steen 1989",NA,NA,NA
"alcelaphine gammaherpesvirus 1","alces alces","Zarnke et al 2002","12238366","10.7589/0090-3558-38.3.500","Serum antibody prevalence of malignant catarrhal fever viruses in seven wildlife species from Alaska."
"caprine gammaherpesvirus 2","alces alces","Vikoren et al. 2006","17255446","10.7589/0090-3558-42.4.797","Malignant catarrhal fever in free-ranging cervids associated with OvHV-2 and CpHV-2 DNA."
"ovine gammaherpesvirus 2","alces alces","Vikoren et al. 2006","17255446","10.7589/0090-3558-42.4.797","Malignant catarrhal fever in free-ranging cervids associated with OvHV-2 and CpHV-2 DNA."
"moniezia benedeni","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"moniezia expansa","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"moraxella ovis","alces alces","Dubay et al 2000","10813605","10.7589/0090-3558-36.2.241","Association of Moraxella ovis with keratoconjunctivitis in mule deer and moose in Wyoming."
"mycobacterium avium","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"mycobacterium avium","alces alces","Tryland et al 2004","15137486","10.7589/0090-3558-40.1.32","Serologic survey for antibodies against Mycobacterium a vium subsp. paratuberculosis in free-ranging cervids from Norway."
"nematodirella alcidis","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"nematodirus sp.","alces alces","Aukstikalniene et al. 2007",NA,NA,NA
"not identified to genus","alces alces","Aukstikalniene et al. 2007",NA,NA,NA
"oesophagostomum venulosum","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"onchocerca sp.","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"california encephalitis orthobunyavirus","alces alces","Grimstad et al 1986","3503129","10.7589/0090-3558-22.4.453","Prevalence of neutralizing antibody to Jamestown Canyon virus (California group) in populations of elk and moose in northern Michigan and Ontario, Canada."
"ostertagia leptospicularis","alces alces","Rehbinder et al 2004",NA,NA,NA
"parafasciolopsis fasciolaemorpha","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"paramphistomum cervi","alces alces","Aukstikalniene et al. 2007",NA,NA,NA
"paramphistomum cervi","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"paramphistomum ichikawai","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"parelaphostrongylus tenuis","alces alces","Dumont and Crete 1996",NA,NA,NA
"parelaphostrongylus tenuis","alces alces","Fuller 1986",NA,NA,NA
"parelaphostrongylus tenuis","alces alces","Lankester et al 2007",NA,NA,NA
"parelaphostrongylus tenuis","alces alces","McCollough and Pollard 1993","8445780","10.7589/0090-3558-29.1.156","Parelaphostrongylus tenuis in Maine moose and the possible influence of faulty Baermann procedures."
"parelaphostrongylus tenuis","alces alces","Ogunremi et al 2002","12528449","10.7589/0090-3558-38.4.796","Detection of anti-parelaphostrongylus tenuis antibodies in experimentally infected and free-ranging moose (Alces alces)."
"parelaphostrongylus tenuis","alces alces","Thomas and Dodds 1988",NA,NA,NA
"parelaphostrongylus tenuis","alces alces","Upshall et al 1987","3682097","10.7589/0090-3558-23.4.683","Parelaphostrongylus tenuis in New Brunswick: the parasite in white-tailed deer (Odocoileus virginianus) and moose (Alces alces)."
"pasteurella multocida","alces alces","Gavier-Widen et al 1995",NA,NA,NA
"bovine viral diarrhea virus 1","alces alces","Kocan et al 1986b",NA,NA,NA
"bovine viral diarrhea virus 1","alces alces","Lillehaug et al 2003","14733272","10.7589/0090-3558-39.4.779","Antibodies to ruminant alpha-herpesviruses and pestiviruses in Norwegian cervids."
"bovine viral diarrhea virus 1","alces alces","Rehbinder et al 2004",NA,NA,NA
"salmonella sp.","alces alces","Aschfalk et al. 2003",NA,NA,NA
"sarcocystis alces","alces alces","Dahlgren and Gjerde 2008","18369663","10.1007/s00436-008-0936-1","Sarcocystis in moose (Alces alces): molecular identification and phylogeny of six Sarcocystis species in moose, and a morphological description of three new species."
"sarcocystis alceslatrans","alces alces","Dahlgren and Gjerde 2008","18369663","10.1007/s00436-008-0936-1","Sarcocystis in moose (Alces alces): molecular identification and phylogeny of six Sarcocystis species in moose, and a morphological description of three new species."
"sarcocystis ovalis","alces alces","Dahlgren and Gjerde 2008","18369663","10.1007/s00436-008-0936-1","Sarcocystis in moose (Alces alces): molecular identification and phylogeny of six Sarcocystis species in moose, and a morphological description of three new species."
"sarcocystis scandinavica","alces alces","Dahlgren and Gjerde 2008","18369663","10.1007/s00436-008-0936-1","Sarcocystis in moose (Alces alces): molecular identification and phylogeny of six Sarcocystis species in moose, and a morphological description of three new species."
"sarcocystis sp.","alces alces","Dahlgren and Gjerde 2008","18369663","10.1007/s00436-008-0936-1","Sarcocystis in moose (Alces alces): molecular identification and phylogeny of six Sarcocystis species in moose, and a morphological description of three new species."
"setaria sp.","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"spiculopteragia alicis","alces alces","Rehbinder et al 2004",NA,NA,NA
"taenia hydatigena","alces alces","Pybus 1990","2250321","10.7589/0090-3558-26.4.453","Survey of hepatic and pulmonary helminths of wild cervids in Alberta, Canada."
"taenia hydatigena","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"thysanosoma actinioides","alces alces","Pybus 1990","2250321","10.7589/0090-3558-26.4.453","Survey of hepatic and pulmonary helminths of wild cervids in Alberta, Canada."
"toxoplasma gondii","alces alces","Kocan et al 1986a",NA,NA,NA
"toxoplasma gondii","alces alces","Siepierski et al 1990","2299521","10.2307/3282643","Prevalence of antibody to Toxoplasma gondii in the moose (Alces alces americana Clinton) of Nova Scotia, Canada."
"toxoplasma gondii","alces alces","Vikoren et al 2004","15041091","10.1016/j.vetpar.2003.12.015","Prevalence of Toxoplasma gondii antibodies in wild red deer, roe deer, moose, and reindeer from Norway."
"trichuris discolor","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"trichuris ovis","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"trichuris ovis","alces alces","Shimalov and Shimalov 2003a","12474047","10.1007/s00436-002-0700-x","Helminth fauna of cervids in Belorussian Polesie."
"trichuris sp.","alces alces","Aukstikalniene et al. 2007",NA,NA,NA
"trypanosoma cervi","alces alces","Kingston et al 1985",NA,NA,NA
"trypanosoma sp.","alces alces","Dirie et al 1990",NA,NA,NA
"varestrongylus alces","alces alces","Stuve 1986",NA,NA,NA
"varestrongylus alces","alces alces","Stuve 1987",NA,NA,NA
"bovine alphaherpesvirus 1","alces alces","Kocan et al 1986b",NA,NA,NA
"zygocotyle lunata","alces alces","Hoeve et al 1988","3373648","10.7589/0090-3558-24.2.371","Parasites of moose (Alces alces) from an agricultural area of eastern Ontario."
"monkeypox","allenopithecus nigroviridis","Brack 1987",NA,NA,NA
"mayaro","alouatta belzebul","Hoch et al. 1981","6266265","10.4269/ajtmh.1981.30.689","An outbreak of Mayaro virus disease in Belterra, Brazil. III. Entomological and ecological studies."
"mayaro","alouatta belzebul","Brack 1987",NA,NA,NA
"ascaris elongata","alouatta belzebul","Stuart et al. 1998",NA,NA,NA
"yellow fever","alouatta belzebul","Hoch et al. 1981","6266265","10.4269/ajtmh.1981.30.689","An outbreak of Mayaro virus disease in Belterra, Brazil. III. Entomological and ecological studies."
"mathevotaenia megastoma","alouatta belzebul","Stuart et al. 1998",NA,NA,NA
"plasmodium brasilianum","alouatta belzebul","Davies et al. 1991",NA,NA,NA
"pseudomonas sp.","alouatta belzebul","Menezes-Costa et al. 2013","23797292","10.1007/s00248-013-0257-5","Identification of bacterial infection in neotropical primates."
"trypanosoma minasense","alouatta belzebul","Baker 1972",NA,NA,NA
"trypanosoma minasense","alouatta belzebul","Stuart et al. 1998",NA,NA,NA
"trypanosoma mycetae","alouatta belzebul","Hoare 1972",NA,NA,NA
"trypanosoma mycetae","alouatta belzebul","Stuart et al. 1998",NA,NA,NA
"trypanosoma mycetae","alouatta belzebul","Deane and Damasceno 1961",NA,NA,NA
"ancylostoma quadridentata","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"ascaris lumbricoides","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"balantidium aragaoi","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"bertiella mucronata","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"bertiella mucronata","alouatta caraya","Pope 1966",NA,NA,NA
"chilomastix sp.","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"dipetalonema gracile","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"entamoeba sp.","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"yellow fever","alouatta caraya","Holzmann et al. 2010","20095025","10.1002/ajp.20796","Impact of yellow fever outbreaks on two howler monkey species (Alouatta guariba clamitans and A. caraya) in Misiones, Argentina."
"yellow fever","alouatta caraya","De Almeida et al. 2012","22020690","10.1002/ajp.21010","Yellow fever outbreak affecting Alouatta populations in southern Brazil (Rio Grande do Sul State), 2008-2009."
"giardia intestinalis","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"giardia sp.","alouatta caraya","Kowalewski et al. 2010","20084672","10.1002/ajp.20803","Black and gold howler monkeys (Alouatta caraya) as sentinels of ecosystem health: patterns of zoonotic protozoa infection relative to degree of human-primate contact."
"longistriata dubia","alouatta caraya","Stuart et al. 1998",NA,NA,NA
"mathevotaenia megastoma","alouatta caraya","Stuart et al. 1998",NA,NA,NA
