"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"papiine gammaherpesvirus 1",FALSE,""
"parainfluenza virus 5",TRUE,"parainfluenza virus 5"
"parana mammarenavirus",FALSE,""
"parapoxvirus of red deer in new zealand",FALSE,""
"parechovirus a",FALSE,""
"parechovirus b",FALSE,""
"pasivirus a",FALSE,""
"patois orthobunyavirus",FALSE,""
"pegivirus a",FALSE,""
"pegivirus b",FALSE,""
"peruvian horse sickness",TRUE,"peruvian horse sickness"
"peste-des-petits-ruminants",TRUE,"peste-des-petits-ruminants"
"phipapillomavirus 1",FALSE,""
"phnom penh bat",TRUE,"phnom penh bat"
"phocid alphaherpesvirus 1",FALSE,""
"phocid gammaherpesvirus 2",FALSE,""
"phocine distemper",TRUE,"phocine distemper"
"pichinde mammarenavirus",FALSE,""
"pinniped bocaparvovirus 1",FALSE,""
"pinniped bocaparvovirus 2",FALSE,""
"pinniped dependoparvovirus 1",FALSE,""
"pipapillomavirus 1",FALSE,""
"pipapillomavirus 2",FALSE,""
"pipistrellus bat coronavirus hku5",FALSE,""
"pirital mammarenavirus",FALSE,""
"piry vesiculovirus",FALSE,""
"pixuna",TRUE,"pixuna"
"porcine circovirus 1",FALSE,""
"porcine circovirus 2",FALSE,""
"porcine epidemic diarrhea",TRUE,"porcine epidemic diarrhea"
"porcine mastadenovirus a",FALSE,""
"porcine mastadenovirus b",FALSE,""
"porcine mastadenovirus c",FALSE,""
"porcine reproductive and respiratory syndrome virus 1",TRUE,"porcine reproductive and respiratory syndrome virus 1"
"porcine rubulavirus",TRUE,"porcine rubulavirus"
"porcine torovirus",TRUE,"porcine torovirus"
"porcine type-c oncovirus",TRUE,"porcine type-c oncovirus"
"possum atadenovirus a",FALSE,""
"powassan",TRUE,"powassan"
"primate bocaparvovirus 1",FALSE,""
"primate bocaparvovirus 2",FALSE,""
"primate erythroparvovirus 1",FALSE,""
"primate erythroparvovirus 2",FALSE,""
"primate erythroparvovirus 3",FALSE,""
"primate erythroparvovirus 4",FALSE,""
"primate protoparvovirus 1",FALSE,""
"primate t-lymphotropic virus 1",TRUE,"primate t-lymphotropic virus 1"
"primate t-lymphotropic virus 2",TRUE,"primate t-lymphotropic virus 2"
"primate t-lymphotropic virus 3",TRUE,"primate t-lymphotropic virus 3"
