Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
acinetobacter soli,Bacteria,phaseolus vulgaris,Higher Plants,1,0,318086777,
acinetobacter ursingii,Bacteria,homo sapiens,Human,1,0,402295215,
acinetobacter ursingii,Bacteria,labeo rohita,Fish,1,0,400531505,
acinetobacter venetianus,Bacteria,anopheles stephensi,Arthropod,6,0,253508693;253508695;253508698;253508699;253508703;253508706,
acinetobacter venetianus,Bacteria,sialia sialis,Aves,1,0,46370604,
acipensericola campbelli,Helminth,polyodon spathula,Fish,1,0,106709997,
acipenserid herpesvirus 2,Virus,acipenser transmontanus,Fish,1,0,333787077,
acremonium kiliense,Fungi,canis lupus familiaris,Domestic,1,0,434861153,
acremonium kiliense,Fungi,ficus carica,Higher Plants,4,0,558067044;558067009;558066978;558066955,
acremonium kiliense,Fungi,salvia miltiorrhiza,Higher Plants,1,0,527814332,
acremonium potronii,Fungi,lotus creticus,Higher Plants,1,0,114704071,
acremonium strictum,Fungi,canis lupus,Mammal,6,0,257187684;327206469;327206470;327206471;327206472;327206473,
acremonium strictum,Fungi,canis lupus familiaris,Domestic,6,0,257187684;327206469;327206470;327206471;327206472;327206473,
acremonium strictum,Fungi,diabrotica virgifera,Arthropod,4,0,90568172;90568173;90568183;90568184,
acremonium strictum,Fungi,helicoverpa armigera,Arthropod,1,0,90568185,
acremonium strictum,Fungi,homo sapiens,Human,1,2,227452454,9426517;9738049
acremonium strictum,Fungi,ostrinia nubilalis,Arthropod,10,0,90568171;90568174;90568175;90568176;90568177;90568178;90568179;90568180;90568181;90568182,
acrocercops defigurata,Arthropod,juglans regia,Higher Plants,12,0,67866781;67866783;67866785;67866787;67866861;67866863;67866865;67866867;67866921;67866922;67866923;67866924,
acrocercops leucophaea,Arthropod,lyonia ovalifolia,Higher Plants,27,0,67866795;67866797;67866799;67866801;67866803;67866805;67866807;67866809;67866811;67866875;67866877;67866879;67866881;67866883;67866885;67866887;67866889;67866891;67866928;67866929;67866930;67866931;67866932;67866933;67866934;67866935;67866936,
acrocercops mantica,Arthropod,castanopsis sieboldii,Higher Plants,3,0,67866777;67866857;67866919,
acrocercops transecta,Arthropod,juglans ailanthifolia,Higher Plants,24,0,67866753;67866755;67866757;67866759;67866761;67866763;67866769;67866771;67866833;67866835;67866837;67866839;67866841;67866843;67866849;67866851;67866907;67866908;67866909;67866910;67866911;67866912;67866915;67866916,
acrocercops transecta,Arthropod,juglans regia,Higher Plants,3,0,67866751;67866831;67866906,
acrocercops transecta,Arthropod,lyonia ovalifolia,Higher Plants,15,0,67866741;67866743;67866745;67866747;67866749;67866821;67866823;67866825;67866827;67866829;67866901;67866902;67866903;67866904;67866905,
acrocercops transecta,Arthropod,platycarya strobilacea,Higher Plants,3,0,67866773;67866853;67866917,
acrocercops transecta,Arthropod,pterocarya rhoifolia,Higher Plants,6,0,67866765;67866767;67866845;67866847;67866913;67866914,
acrocercops unistriata,Arthropod,quercus phillyraeoides,Higher Plants,3,0,67866775;67866855;67866918,
acrocercops vallata,Arthropod,quercus glauca,Higher Plants,3,0,67866779;67866859;67866920,
acrophialophora fusispora,Fungi,homo sapiens,Human,0,6,,23601455;19107638;17532593;15762812;15750142;11101597
acrostichus halicti,Helminth,augochlorella aurata,Arthropod,2,0,305693608;305693619,
acrostichus halicti,Helminth,halictus ligatus,Arthropod,27,0,256856177;256856178;256856179;305693553;305693554;305693555;305693556;305693557;305693558;305693559;305693560;305693561;305693603;305693604;305693605;305693606;305693607;305693609;305693610;305693680;305693682;305693684;305693686;305693688;305693690;305693692;305693694,
acrostichus halicti,Helminth,halictus parallelus,Arthropod,28,0,305693562;305693563;305693564;305693565;305693566;305693567;305693568;305693569;305693570;305693611;305693612;305693613;305693614;305693615;305693616;305693617;305693618;305693621;305693696;305693698;305693700;305693702;305693704;305693706;305693708;305693710;305693712;305693714,
acrostichus halicti,Helminth,halictus rubicundus,Arthropod,15,0,305693571;305693572;305693573;305693574;305693575;305693620;305693622;305693623;305693624;305693625;305693716;305693718;305693720;305693722;305693724,
actinoallomurus spadix,Bacteria,alnus nepalensis,Higher Plants,1,0,240130355,
actinoallomurus spadix,Bacteria,hibiscus syriacus,Higher Plants,1,0,240130354,
actinobacillus arthritidis,Bacteria,equus caballus,Domestic,2,1,20384642;48728388,12148635
actinobacillus equuli,Bacteria,equus caballus,Domestic,2,9,48728418;134290689,988818;5290202;7744650;8660228;9012103;9673769;9773474;11480524;12148635
actinobacillus equuli,Bacteria,sus scrofa,Domestic,1,3,48728395,4692514;4721944;9673769
actinobacillus equuli,Bacteria,sus scrofa domesticus,Domestic,0,8,,21645978;21286321;18587096;12791244;12488079;10831858;6532108;965291
actinobacillus hominis,Bacteria,homo sapiens,Human,3,0,511543186;511543277;511543278,
actinobacillus lignieresii,Bacteria,bos taurus,Domestic,2,7,2689003;2689004,1168181;8315057;14484340;21441378;14798788;3728024;1161454
actinobacillus lignieresii,Bacteria,homo sapiens,Human,3,1,2689005;2689009;2689025,14484340
actinobacillus lignieresii,Bacteria,ovis aries,Domestic,0,9,,21303512;11910502;1774260;3026298;3728024;922555;1161454;5389522;5389342
actinobacillus minor,Bacteria,sus scrofa,Domestic,2,1,307598088;307598089,20888711
actinobacillus pleuropneumoniae,Bacteria,bos taurus,Domestic,0,49,,24878848;24837878;24612952;23785362;21601179;19356397;19046441;17015664;16236577;16206777;16094559;15899574;15530817;15217193;12878547;11910502;10461841;9841786;9826333;9744762;9725794;9405205;9023043;8972068;8914750;8953533;8844576;7642295;7667902;8549286;8012601;8004545;7919819;8501242;8460470;8434147;1913343;2047588;2233254;2232161;2193710;2193708;2193702;2298483;2110858;2532702;3214808;3421527;3631686
actinobacillus pleuropneumoniae,Bacteria,canis lupus familiaris,Domestic,0,5,,19046441;11680911;2232161;3214808;3631686
actinobacillus pleuropneumoniae,Bacteria,equus caballus,Domestic,0,6,,24742921;13677398;11724833;3631686;6830024;998254
actinobacillus pleuropneumoniae,Bacteria,homo sapiens,Human,0,9,,2193702;6329957;7496539;7720523;8549286;11000461;11825957;15899574;21737093
actinobacillus pleuropneumoniae,Bacteria,ovis aries,Domestic,0,18,,21908290;21601179;12798635;11910502;11130862;9841786;8767768;7667902;8012601;8286536;8432615;1691210;2526820;3421527;3631686;6190838;6830024;998254
actinobacillus pleuropneumoniae,Bacteria,sus scrofa,Domestic,77,256,1668702;2369663;2369665;2369667;2369669;2369671;2369673;2369675;2369677;2369679;2369681;2369683;2369685;2688990;2688991;2688992;2688993;2688994;2688995;2688997;2688998;2688999;2689000;2689001;2689002;2689007;2689008;2689010;2689011;2689012;2689013;2689014;2689015;2689016;2689017;2689018;2689019;2689020;2689021;2689022;66840802;66840966;66968618;66968624;150036869;150406443;257362116;257362119;257362122;257362125;257362128;257362147;257362150;257362153;257362156;257362177;257362180;257362183;257362186;257362189;257362192;257362195;257362198;257362202;257362205;257362208;307598090;313870653;313870655;313870657;313870658;313870660;313870662;313870664;341940015;341940017;341940019,1380195;1441197;1847295;2063545;2193702;2231874;2238457;2254012;2332472;2815050;2776673;3176314;2674017;3232318;2657061;2532869;3397178;2379111;3525407;3527983;2306668;2298655;2236908;2048282;1968988;1949556;1926685;1895928;1864937;3929457;3962114;4016580;4082386;4246004;1691210;6329957;1541562;6623869;1515488;1481214;1426994;1398943;7149390;7483902;1387754;7642295;7720523;1315466;1311762;7941848;1303696;2914231;8042271;8080176;3202062;3258936;3384814;8160347;3417350;3532872;8273273;8284489;3536748;3539296;3565204;8396122;8451829;8460470;8473222;3699889;8501242;8519914;8533233;8549286;8557378;8560734;8593289;8604551;8734634;8748537;3750792;3776093;3836574;3926287;8894010;6190838;9008804;6403208;9066110;9114394;9151535;6655041;9228778;6713256;6831302;7046533;7492643;7830567;7919820;9673960
actinobacillus pleuropneumoniae,Bacteria,sus scrofa domesticus,Domestic,0,580,,25260642;25201629;25160760;25118633;25100437;24878848;24878741;24863421;24726505;24723105;24612952;24572722;24499999;24485705;24445419;24429068;24372642;24351863;24307459;24146912;24139070;24134635;23923656;23820218;23785362;23743601;23732171;23725589;23698783;23509865;23347956;23274984;23269417;23206402;23200821;23144372;23016650;22953717;22776053;22658914;22546414;22541161;22530048;22503209;22500881;22369045;22347439;22341869;22240397;22226820;22204596;22182431;22143982;22122907;22104584;22069313;21971164;21964939;21908316;21847536;21835218;21749728;21737462;21737093;21703014;21639829;21611187;21550186;21530112;21507263;21497460;21432947;21425909;21414190;21320583;21316872;21314908;21297163;21253912;20831818;20802045;20696539;20688648;20546697;20519113;20518341;20402790;20207760;20141640;20015333;19901289;19897530;19887737;19751522;19737507;19721364;19716795;19703979;19695095;19664889
actinobacillus porcinus,Bacteria,sus scrofa,Domestic,3,0,307598085;307598086;307598087,
actinobacillus porcitonsillarum,Bacteria,sus scrofa,Domestic,12,3,66840767;66840776;66840786;66840797;66968640;66968649;66968659;66968670;150036847;150036857;150406526;150406540,15863281;17320315;19819087
actinobacillus rossii,Bacteria,sus scrofa,Domestic,4,0,41323946;41323947;48728402;48728420,
actinobacillus seminis,Bacteria,ovis aries,Domestic,0,32,,24948932;24592151;23514236;20708246;19966895;19043470;16548331;10358878;9871313;7793022;2220189;2223608;2488712;2472660;3073675;3591111;3447463;3026298;3767100;3949615;4051915;6533305;6355954;6762755;16725695;7020228;551361;551360;95214;5529758;5333604;14141504
actinobacillus suis,Bacteria,equus caballus,Domestic,0,11,,21460119;12488079;12361259;9187729;8870199;1928905;3631683;4057345;6532108;16030875;1265987
actinobacillus suis,Bacteria,homo sapiens,Human,0,8,,16480769;15899574;12742718;12361259;11910502;11825957;9628357;7868272
actinobacillus suis,Bacteria,sus scrofa,Domestic,6,0,407387651;407691594;470490503;452192498;444439594;2689006,
actinobacillus suis,Bacteria,sus scrofa domesticus,Domestic,0,43,,23144422;21908342;21645978;21639829;21612441;20932586;20501522;19664889;19139196;18505187;17803047;16480769;16177387;15899574;12791244;12742718;12488079;11910502;11825957;11792495;11361153;11356318;11108454;11081581;11015398;10831858;10805246;10369563;9779607;9114394;8870199;8557378;7886937;17424312;2033378;2249177;17423607;2332472;17423473;3421527;4064626;6532108;974978
actinobacillus ureae,Bacteria,homo sapiens,Human,422,0,322118121;322118124;322118126;322118129;322118133;322118135;322118137;322118141;322118144;322118148;322118151;322118156;322118161;322118166;322118171;322118175;322118181;322118184;322118188;322118195;322118199;322118205;322118209;322118214;322118216;322118228;322118232;322118243;322118261;322118271;322118273;322118276;322118314;322118339;322118363;322118388;322118405;322118416;322118428;322118445;322118480;322118496;322118516;322118524;322118536;322118556;322118569;322118584;322118615;322118621;322118650;322118715;322118783;322118822;322118828;322118836;322118841;322118873;322118879;322118888;322118894;322118920;322118971;322118991;322119009;322119024;322119049;322119081;322119093;322119120;322119138;322119146;322119191;322119227;322119232;322119234;322119243;322119260;322119284;322119305;322119343;322119362;322119394;322119412;322119442;322119457;322119474;322119539;322119550;322119555;322119563;322119588;322119608;322119616;322119634;322119643;322119656;322119686;322119692;322119699,
actinobaculum schaalii,Bacteria,homo sapiens,Human,1,2,115277989,20854424;20952417
actinobaculum suis,Bacteria,sus scrofa,Domestic,0,15,,23346017;15032264;7660097;8306860;8368995;8347506;8337800;2080504;2219105;2206124;6501882;6808018;7044746;1006295;6010034
actinobaculum suis,Bacteria,sus scrofa domesticus,Domestic,0,11,,23346017;15032264;7660097;7985429;8337800;2080504;2219105;2206124;3407105;7044746;6010034
actinocorallia spatholoba,Bacteria,spatholobus suberectus,Higher Plants,1,0,152925952,
actinomadura glauciflava,Bacteria,aquilaria crassna,Higher Plants,1,0,241982951,
actinomadura madurae,Fungi,homo sapiens,Human,300,1,586972663;586972664;586972665;586972666;586972667;586972668;586972669;586972670;586972671;586972672;586972673;586972674;586972675;586972676;586972677;586972678;586972679;586972680;586972681;586972682;586972683;586972684;586972685;586972686;586972687;586972688;586972689;586972690;586972691;586972692;586972693;586972694;586972695;586972696;586972697;586972698;586972699;586972700;586972701;586972702;586972703;586972704;586972705;586972706;586972707;586972708;586972709;586972710;586972711;586972712;586972713;586972714;586972715;586972716;586972717;586972718;586972719;586972720;586972721;586972722;586972723;586972724;586972725;586972726;586972727;586972728;586972729;586972730;586972731;586972732;586972733;586972734;586972735;586972736;586972737;586972738;586972739;586972740;586972741;586972742;586972743;586972744;586972745;586972746;586972747;586972748;586972749;586972750;586972751;586972752;586972753;586972754;586972755;586972756;586972757;586972758;586972759;586972760;586972761;586972762,8366880
actinomadura meyerae,Bacteria,homo sapiens,Human,1,0,315570419,
actinomadura pelletieri,Bacteria,homo sapiens,Human,1,0,281484914,
actinomucor elegans,Fungi,homo sapiens,Human,4,0,54649876;54649877;229464582;229464583,
actinomucor elegans,Fungi,philanthus triangulum,Arthropod,2,0,332650581;332650590,
actinomyces bovis,Bacteria,bos taurus,Domestic,0,8,,18992119;16957097;12948160;8315057;2715395;3898560;13207577;13148703
actinomyces bowdenii,Bacteria,canis lupus,Mammal,1,0,401021340,
actinomyces bowdenii,Bacteria,canis lupus familiaris,Domestic,1,0,401021340,
actinomyces cardiffensis,Bacteria,homo sapiens,Human,5,0,284451141;285200759;285200761;285200763;290759819,
actinomyces dentalis,Bacteria,homo sapiens,Human,5,1,285201084;285201085;285201086;285201087;285201088,15653913
actinomyces denticolens,Bacteria,homo sapiens,Human,1,0,285203730,
actinomyces funkei,Bacteria,homo sapiens,Human,2,0,332042329;356491214,
actinomyces georgiae,Bacteria,homo sapiens,Human,2,0,285180945;290759818,
actinomyces gerencseriae,Bacteria,homo sapiens,Human,24,1,285180949;285180966;285180981;285180983;285180989;285180991;285180997;285181000;285181008;285181010;285181012;285181014;285181016;285181018;285181020;285181035;285181037;285181039;285181041;285181045;285181057;285181059;285181061;285181074,2397195
actinomyces graevenitzii,Bacteria,homo sapiens,Human,1,0,371919676,
actinomyces hyovaginalis,Bacteria,ovis aries,Domestic,2,0,351734992;351734994,
actinomyces hyovaginalis,Bacteria,sus scrofa,Domestic,3,2,33321101;33321102;351734993,8347506;11731162
actinomyces israelii,Bacteria,homo sapiens,Human,72,19,285184404;285184406;285184408;285184409;285184410;285184411;285184412;285184413;285184417;285184419;285184421;285184424;285184425;285184426;285184427;285184428;285184429;285184430;285184431;285184432;285184433;285184434;285184436;285184437;285184438;285184441;285184442;285184444;285184445;285184446;285184447;285184449;285184451;285184453;285184455;285184456;285184457;285184458;285184462;285184463;285184464;285184466;285184469;285184470;285184472;285184473;285184475;285184479;285184481;285184482;285184483;285184484;285184485;285184486;285184487;285184489;285184490;285184491;285184492;285184493;285184494;285184495;285184496;285184497;285184500;285184501;285184502;285184504;285184507;285184508;285184509;285184510,2397195;11220957;18498901;19882914;20583443;19348264;18203542;17714758;17584471;15831144;14622340;14433042;13721371;7193305;6514161;2892794;1408347;1158523;711337
actinomyces massiliensis,Bacteria,homo sapiens,Human,12,0,285204169;285204171;285204173;285204175;285204177;285204179;285204181;285204183;285204185;285204187;285204189;285204191,
actinomyces meyeri,Bacteria,homo sapiens,Human,1,6,290759820,1465587;6717557;8877656;9178115;9260489;21296736
actinomyces naeslundii,Bacteria,homo sapiens,Human,95,34,285797325;285797326;285797327;285797328;285797329;285797330;285797331;285797332;285797333;285797334;285797335;285797336;285797337;285797338;285797339;285797340;285797341;285797342;285797343;285797344;285797345;285797346;285797347;285797348;285797349;285797350;285797351;285797352;285797353;285797354;285797355;285797356;285797357;285797358;285797359;285797360;285797361;285797362;285797363;285797364;285797365;285797366;285797367;285797368;285797369;285797370;285797371;285797372;285797373;285797374;285797375;285797376;285797377;285797378;285797379;285797380;285797381;285797382;285797383;285797384;285797385;285797386;285797387;285797388;285797389;285797390;285797391;285797392;285797393;285797394;285797395;285797396;285797397;285797398;285797399;285797400;285797401;285797402;285797403;290759808;290759809;290759810;290759811;345296746;347311467;347311468;347311469;347311470;347311471;347311472;347311473;347311474;347311475;347311476;347311477,2397195;2675800;2892794;8069882;9088695;9879519;11474036;11705891;12477236;14871353;21195122;19007062;18004487;16369022;15450309;12949945;10802139;9712779;8850582;7795046;7478764;7076291;7068820;7000708;6786220;6409806;6188696;6150008;5275754;3455699;3105855;2062520;387589;10259
