Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
acinetobacter calcoaceticus,Bacteria,musca domestica,Arthropod,1,0,310751503,
acinetobacter calcoaceticus,Bacteria,phaseolus vulgaris,Higher Plants,1,0,215983430,
acinetobacter calcoaceticus,Bacteria,plantago lanceolata,Higher Plants,1,0,353259933,
acinetobacter calcoaceticus,Bacteria,plectranthus barbatus,Higher Plants,1,0,358030542,
acinetobacter calcoaceticus,Bacteria,solanum nigrum,Higher Plants,1,0,194369499,
acinetobacter calcoaceticus,Bacteria,sorbus aucuparia,Higher Plants,1,0,94442988,
acinetobacter calcoaceticus,Bacteria,turbo kenwilliamsi,Mollusca,1,0,304556432,
acinetobacter calcoaceticus,Bacteria,zingiber officinale,Higher Plants,2,0,253750900;295147086,
acinetobacter haemolyticus,Bacteria,anopheles stephensi,Arthropod,1,0,253508767,
acinetobacter haemolyticus,Bacteria,homo sapiens,Human,4,0,157783589;157783590;157783591;209967495,
acinetobacter haemolyticus,Bacteria,leptinotarsa decemlineata,Arthropod,1,0,307752959,
acinetobacter haemolyticus,Bacteria,musca domestica,Arthropod,1,0,310751493,
acinetobacter haemolyticus,Bacteria,phaseolus vulgaris,Higher Plants,1,0,215983431,
acinetobacter johnsonii,Bacteria,anopheles stephensi,Arthropod,1,0,253508731,
acinetobacter johnsonii,Bacteria,beta vulgaris,Higher Plants,1,0,183230088,
acinetobacter johnsonii,Bacteria,homo sapiens,Human,2,1,209967481;209967482,15934927
acinetobacter johnsonii,Bacteria,populus euphratica,Higher Plants,3,0,306035143;345107153;345107170,
acinetobacter johnsonii,Bacteria,takifugu rubripes,Fish,2,0,166203382;166203388,
acinetobacter johnsonii,Bacteria,taxus globosa,Higher Plants,2,0,309297081;309297082,
acinetobacter johnsonii,Bacteria,tectona grandis,Higher Plants,1,0,318086670,
acinetobacter johnsonii,Bacteria,ulva rigida,Green Algae,1,0,298286302,
acinetobacter junii,Bacteria,acipenser schrenckii,Fish,3,0,530410201;530410195;530410173,
acinetobacter junii,Bacteria,apocynum venetum,Higher Plants,1,0,197690609,
acinetobacter junii,Bacteria,culex quinquefasciatus,Arthropod,3,0,16417815;307816499;348161488,
acinetobacter junii,Bacteria,cyprinus carpio,Fish,1,0,151413614,
acinetobacter junii,Bacteria,homo sapiens,Human,277,3,407827875;407827878;407827881;407827884;407827887;407827890;407827893;407827896;407827899;407827901;407827904;407827907;407827910;407827913;407827916;407827918;407827921;407827923;407827925;407827927;407827930;407827933;407827937;407827940;407827944;407827947;407827950;407827953;407827956;407827959;407827962;407827965;407827968;407827971;407827974;407827977;407827980;407827983;407827986;407827989;407827992;407827995;407827998;407828001;407828004;407828007;407828010;407828013;407828016;407828019;407828022;407828025;407828028;407828031;407828034;407828037;407828040;407828043;407828046;407828049;407828052;407828055;407828058;407828061;407828064;407828067;407828070;407828073;407828076;407828079;407828082;407828085;407828088;407828091;407828094;407828097;407828100;407828103;407828106;407828109;407828112;407828115;407828118;407828121;407828124;407828127;407828129;407828131;407828134;407828136;407828138;407828141;407828144;407828147;407828150;407828153;407828156;407828158;407828161;407828164,9049817;11473593;19424558
acinetobacter junii,Bacteria,ictalurus punctatus,Fish,1,0,62362178,
acinetobacter junii,Bacteria,kareius bicoloratus,Fish,1,0,55469850,
acinetobacter junii,Bacteria,nicotiana attenuata,Higher Plants,2,0,451171283;451171282,
acinetobacter junii,Bacteria,oreochromis niloticus,Fish,1,0,317409206,
acinetobacter junii,Bacteria,pandora neoaphidis,Fungi,2,0,628823744;628823712,
acinetobacter junii,Bacteria,pandora nouryi,Fungi,1,0,628823737,
acinetobacter junii,Bacteria,ulva rigida,Green Algae,1,0,298286308,
acinetobacter lwoffii,Bacteria,anopheles stephensi,Arthropod,2,0,253508722;253508723,
acinetobacter lwoffii,Bacteria,culex quinquefasciatus,Arthropod,2,0,348161407;348161489,
acinetobacter lwoffii,Bacteria,dendroctonus rhizophagus,Arthropod,1,0,353743059,
acinetobacter lwoffii,Bacteria,dendroctonus valens,Arthropod,1,0,225927268,
acinetobacter lwoffii,Bacteria,echinacea angustifolia,Higher Plants,2,0,50082917;50082918,
acinetobacter lwoffii,Bacteria,homo sapiens,Human,4,8,197209627;209967488;209967489;254692636,174472;1515154;3527987;9350741;10357050;12205068;20837764;21863671
acinetobacter lwoffii,Bacteria,moschus berezovskii,Mammal,1,0,320128367,
acinetobacter lwoffii,Bacteria,musa acuminata,Higher Plants,1,0,169882131,
acinetobacter lwoffii,Bacteria,populus euphratica,Higher Plants,4,0,306035146;345107159;345107167;345107181,
acinetobacter lwoffii,Bacteria,takifugu rubripes,Fish,2,0,166203378;166203390,
acinetobacter lwoffii,Bacteria,taxus globosa,Higher Plants,5,0,309297083;309297084;309297085;326422197;326422199,
acinetobacter lwoffii,Bacteria,ulva australis,Green Algae,1,0,84374230,
acinetobacter lwoffii,Bacteria,zea mays,Higher Plants,2,0,304366069;304366070,
acinetobacter parvus,Bacteria,homo sapiens,Human,1,0,402295441,
acinetobacter phage 133,Virus,acinetobacter johnsonii,Bacteria,2,0,299483232;326536151,
acinetobacter radioresistens,Bacteria,anopheles stephensi,Arthropod,7,0,253508724;253508725;253508732;253508748;253508762;253508764;253508765,
acinetobacter radioresistens,Bacteria,culex quinquefasciatus,Arthropod,1,0,348161503,
acinetobacter radioresistens,Bacteria,elaeis guineensis,Higher Plants,1,0,319432399,
acinetobacter radioresistens,Bacteria,homo sapiens,Human,1,1,209967496,10357050
acinetobacter radioresistens,Bacteria,phaseolus vulgaris,Higher Plants,2,0,215983429;300675977,
acinetobacter rhizosphaerae,Bacteria,lolium perenne,Higher Plants,1,0,164518368,
acinetobacter schindleri,Bacteria,culex quinquefasciatus,Arthropod,2,0,348161490;348161534,
acinetobacter schindleri,Bacteria,zea mays,Higher Plants,4,0,304366071;388828370;388829260;388829264,
acinetobacter septicus,Bacteria,homo sapiens,Human,3,0,209967486;209967487;293509176,
acinetobacter soli,Bacteria,culex quinquefasciatus,Arthropod,2,0,348161425;348161512,
acinetobacter soli,Bacteria,ficus deltoidea,Higher Plants,1,0,319659163,
acinetobacter soli,Bacteria,musca domestica,Arthropod,1,0,310751481,
