Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
jaagsiekte sheep retrovirus,"jaagsiekte virus; sheep pulmonary adenomatosis virus; ovine pulmonary adenocarcinoma virus, etc.",TRUE,jaagsiekte sheep retrovirus,
japanese encephalitis,japanese encephalitis virus jev; japanese encephalitis virus je; japanese encephalitis (je) virus,TRUE,japanese encephalitis,
jugra,,TRUE,jugra,
junin mammarenavirus,junn mammarenavirus; junin virus; junin arenavirus,FALSE,junin,
jutiapa,,TRUE,jutiapa,
kadam,,FALSE,kadam,
kaeng khoi orthobunyavirus,,FALSE,kaeng khoi,
kairi orthobunyavirus,,FALSE,kairi,
kappapapillomavirus 1,ropv; rabbit oral papillomavirus,FALSE,rabbit oral papillomavirus,
kappapapillomavirus 2,"rabbit papillomavirus; cottontail rabbit papillomavirus; papillomavirus sylvilagi, etc.",FALSE,cottontail rabbit papillomavirus,
kedougou,,FALSE,kedougou,
khabarovsk hantavirus,khav; khabarovsk virus,FALSE,khabarovsk,
khujand lyssavirus,khujand virus,FALSE,khujand,
kirsten murine sarcoma,,FALSE,kirsten murine sarcoma,
kokobera,,TRUE,kokobera,
kotonkan ephemerovirus,,FALSE,kotonkan,
koutango,,TRUE,koutango,
kyasanur forest disease,,TRUE,kyasanur forest disease,
lactate dehydrogenase-elevating,lactate dehydrogenase-elevating virus ldv; lactic dehydrogenase virus,TRUE,lactate dehydrogenase-elevating,
lagos bat lyssavirus,lagos bat virus,FALSE,lagos bat,
laguna negra hantavirus,laguna negra virus,FALSE,laguna negra,
lambdapapillomavirus 1,feline papillomavirus,FALSE,feline papillomavirus,
lambdapapillomavirus 4,,FALSE,lambdapapillomavirus 4,
lambdapapillomavirus 5,,FALSE,lambdapapillomavirus 5,
langur,,TRUE,langur,
lassa mammarenavirus,lassa virus,FALSE,lassa,
latino mammarenavirus,latino virus; latino arenavirus,FALSE,latino,
lebombo,lebombo virus group,TRUE,lebombo,
leporid alphaherpesvirus 4,leporid herpesvirus 4,FALSE,leporid herpesvirus 4,
lloviu cuevavirus,lloviu virus,FALSE,lloviu,
louping ill,li,TRUE,louping ill,
lujo mammarenavirus,lujo virus,FALSE,lujo,
lumpy skin disease,,TRUE,lumpy skin disease,
luna mammarenavirus,luna virus,FALSE,luna,
lymphocytic choriomeningitis mammarenavirus,lymphocytic choriomeningitis virus lcmv; lymphocytic choriomeningitis virus,FALSE,lymphocytic choriomeningitis,
m'poko orthobunyavirus,,FALSE,m'poko,
