"Parasite","Host","DetectionMethod","DetectionQuality","Citation","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","Year","YearType","ParasiteType","Database","PathogenName_Harmonised","PathogenType","HumanInfective_External","IsZoonotic","DiseaseAgent","Disease_GIDEON","Route_GIDEON","HumanInfective_Any"
"foot-and-mouth disease","antilope cervicapra","Isolation",2,"Kar et al. 1983; Hegde et al. 2011 in Weaver & Karesh 2013","cetartiodactyla","bovidae","antilope","cervicapra","picornavirales","picornaviridae",NA,"aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1983,"ScientificPublicationDate_Earliest","virus","HP3","foot-and-mouth disease","virus",1,1,0,NA,NA,1
"rabies","antrozous pallidus","PCR",2,"Blanton et al. 2008","chiroptera","vespertilionidae","antrozous","pallidus","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2008,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
"measles","aotus azarae","Antibodies",0,"O'Brien et al. 1981","primates","aotidae","aotus","azarae","mononegavirales","paramyxoviridae","paramyxovirinae","morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15894,1,1,1,1981,"ScientificPublicationDate_Earliest","virus","HP3","measles","virus",1,1,1,"measles","respiratory",1
"encephalomyocarditis","aotus trivirgatus","Isolation",2,"Roca-Garcia 1957","primates","aotidae","aotus","trivirgatus","picornavirales","picornaviridae",NA,"cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,7835,0,1,1,1957,"ScientificPublicationDate_Earliest","virus","HP3","encephalomyocarditis","virus",1,1,1,"respiratory viruses (misc)","respiratory",1
"gb virus a","aotus trivirgatus","PCR",2,"Bukh & Apgar 1997","primates","aotidae","aotus","trivirgatus","unassigned","flaviviridae",NA,"unassigned","SS","RNA","enveloped",FALSE,TRUE,9550,0,0,0,1997,"ScientificPublicationDate_Earliest","virus","HP3","gb virus a","virus",0,0,0,NA,NA,0
"gb virus b","aotus trivirgatus","Isolation",2,"Bukh et al. 2001a","primates","aotidae","aotus","trivirgatus","unassigned","flaviviridae",NA,"hepacivirus","SS","RNA","enveloped",FALSE,TRUE,9399,0,0,0,2001,"ScientificPublicationDate_Earliest","virus","HP3","gb virus b","virus",0,0,0,NA,NA,0
"hepatitis a","aotus trivirgatus","Antibodies",0,"Lemon et al. 1982","primates","aotidae","aotus","trivirgatus","picornavirales","picornaviridae",NA,"hepatovirus","SS","RNA","non-enveloped",FALSE,TRUE,7478,0,1,1,1982,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis a","virus",1,1,1,"hepatitis a","food, water, fecal-oral",1
"hepatitis a","aotus trivirgatus","Antibodies",0,"Lemon et al. 1982","primates","aotidae","aotus","trivirgatus","picornavirales","picornaviridae",NA,"hepatovirus","SS","RNA","non-enveloped",FALSE,TRUE,7478,0,1,1,1982,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis a","virus",1,1,1,"hepatitis a","food, water, fecal-oral",1
"measles","aotus trivirgatus","Isolation",2,"Fowler & Miller. 2003","primates","aotidae","aotus","trivirgatus","mononegavirales","paramyxoviridae","paramyxovirinae","morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15894,1,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","measles","virus",1,1,1,"measles","respiratory",1
"torque teno","aotus trivirgatus","PCR",2,"Catroxo et al. 2008","primates","aotidae","aotus","trivirgatus","unassigned","anelloviridae",NA,"anellovirus","SS","DNA","non-enveloped",FALSE,NA,3524,0,1,1,2008,"ScientificPublicationDate_Earliest","virus","HP3","torque teno","virus",0,0,0,NA,NA,1
"vesicular stomatitis indiana","aotus trivirgatus","plaque reduction neutralization",1,"Tesh et al. 1969","primates","aotidae","aotus","trivirgatus","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1969,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"yellow fever","aotus trivirgatus","Antibodies",0,"Seymour et al. 1983","primates","aotidae","aotus","trivirgatus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1983,"ScientificPublicationDate_Earliest","virus","HP3","yellow fever","virus",1,1,1,"yellow fever","vector, fluids",1
"california encephalitis","apodemus agrarius","Antibodies",0,"Mitchell et al. 1993","rodentia","muridae","apodemus","agrarius","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1993,"ScientificPublicationDate_Earliest","virus","HP3","california encephalitis","virus",1,1,1,"california encephalitis","vector",1
"dobrava-belgrade","apodemus agrarius","Isolation",2,"Plyusnin 2002","rodentia","muridae","apodemus","agrarius","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11851,0,1,1,2002,"ScientificPublicationDate_Earliest","virus","HP3","dobrava-belgrade","virus",1,1,1,"old world hantavirus","direct, environmental, respiratory",1
"hantaan","apodemus agrarius","Isolation",2,"Acha & Szyfres 2003; Lee et al. 1978","rodentia","muridae","apodemus","agrarius","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11845,0,1,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","hantaan","virus",1,1,1,"old world hantavirus","direct, environmental, respiratory",1
"lymphocytic choriomeningitis","apodemus agrarius","Antibodies",0,"Tagliapietra et al. 2009","rodentia","muridae","apodemus","agrarius","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","lymphocytic choriomeningitis","virus",1,1,1,"lymphocytic choriomeningitis","direct, food, respiratory",1
"tick-borne encephalitis","apodemus agrarius","Isolation",2,"Golovljova et al. 2004","rodentia","muridae","apodemus","agrarius","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","tick-borne encephalitis","virus",1,1,1,"tick-borne encephalitis","vector, food",1
"apoi","apodemus argenteus","Isolation",2,"Karabatsos 1995","rodentia","muridae","apodemus","argenteus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10116,0,0,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","apoi","virus",0,0,0,NA,NA,0
"cowpox","apodemus flavicollis","Antibodies",0,"Acha & Szyfres 2003; Essbauer & Meyer 2007; Essbauer et al. 2009","rodentia","muridae","apodemus","flavicollis","unassigned","poxviridae","chordopoxvirinae","orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,223025.5,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","cowpox","virus",1,1,1,"cowpox","direct",1
"dobrava-belgrade","apodemus flavicollis","Isolation",2,"Avsic-Zupanc et al. 1992","rodentia","muridae","apodemus","flavicollis","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11851,0,1,1,1992,"ScientificPublicationDate_Earliest","virus","HP3","dobrava-belgrade","virus",1,1,1,"old world hantavirus","direct, environmental, respiratory",1
"ljungan","apodemus flavicollis","PCR",2,"Hauffe et al. 2010","rodentia","muridae","apodemus","flavicollis","picornavirales","picornaviridae",NA,"parechovirus","SS","RNA","non-enveloped",FALSE,TRUE,7613.5,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","ljungan","virus",0,1,1,"enterovirus infection","fecal-oral, direct, respiratory",1
"lymphocytic choriomeningitis","apodemus flavicollis","Antibodies",0,"Tagliapietra et al. 2009","rodentia","muridae","apodemus","flavicollis","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","lymphocytic choriomeningitis","virus",1,1,1,"lymphocytic choriomeningitis","direct, food, respiratory",1
"murid herpesvirus 1","apodemus flavicollis","Isolation",2,"Mistrikova & Blaskovis 1985","rodentia","muridae","apodemus","flavicollis","herpesvirales","herpesviridae","betaherpesvirinae","muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,235000,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","murid herpesvirus 1","virus",0,0,0,NA,NA,0
"murid herpesvirus 2","apodemus flavicollis","PCR",2,"Ehlers et al. 2007","rodentia","muridae","apodemus","flavicollis","herpesvirales","herpesviridae","betaherpesvirinae","muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,230138,0,0,0,2007,"ScientificPublicationDate_Earliest","virus","HP3","murid herpesvirus 2","virus",0,0,0,NA,NA,0
"murid herpesvirus 4","apodemus flavicollis","Isolation",2,"Blaskovic et al. 1980; Ehlers et al. 2007","rodentia","muridae","apodemus","flavicollis","herpesvirales","herpesviridae","gammaherpesvirinae","rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,1980,"ScientificPublicationDate_Earliest","virus","HP3","murid herpesvirus 4","virus",0,0,0,NA,NA,0
"thiafora","apodemus flavicollis","Antibodies",0,"Woessner et al. 2000","rodentia","muridae","apodemus","flavicollis","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","thiafora","virus",0,0,0,NA,NA,1
"tick-borne encephalitis","apodemus flavicollis","Isolation",2,"Acha & Szyfres 2003; Kozch et al. 1995","rodentia","muridae","apodemus","flavicollis","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","tick-borne encephalitis","virus",1,1,1,"tick-borne encephalitis","vector, food",1
"lymphocytic choriomeningitis","apodemus mystacinus","Antibodies",0,"Tagliapietra et al. 2009","rodentia","muridae","apodemus","mystacinus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","lymphocytic choriomeningitis","virus",1,1,1,"lymphocytic choriomeningitis","direct, food, respiratory",1
"hantaan","apodemus peninsulae","Isolation",2,"Wang et al. 2000","rodentia","muridae","apodemus","peninsulae","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11845,0,1,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","hantaan","virus",1,1,1,"old world hantavirus","direct, environmental, respiratory",1
"apoi","apodemus speciosus","Isolation",2,"Karabatsos 1995","rodentia","muridae","apodemus","speciosus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10116,0,0,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","apoi","virus",0,0,0,NA,NA,0
"cowpox","apodemus sylvaticus","PCR",2,"Acha & Szyfres 2003; Chantrey et al. 1999","rodentia","muridae","apodemus","sylvaticus","unassigned","poxviridae","chordopoxvirinae","orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,223025.5,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","cowpox","virus",1,1,1,"cowpox","direct",1
"ectromelia","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","rodentia","muridae","apodemus","sylvaticus","unassigned","poxviridae","chordopoxvirinae","orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,209771,0,0,0,1980,"ScientificPublicationDate_Earliest","virus","HP3","ectromelia","virus",0,0,0,NA,NA,0
"encephalomyocarditis","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","rodentia","muridae","apodemus","sylvaticus","picornavirales","picornaviridae",NA,"cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,7835,0,1,1,1980,"ScientificPublicationDate_Earliest","virus","HP3","encephalomyocarditis","virus",1,1,1,"respiratory viruses (misc)","respiratory",1
"eyach","apodemus sylvaticus","Isolation",2,"Chastel et al. 1985","rodentia","muridae","apodemus","sylvaticus","unassigned","reoviridae","spinareovirinae","coltivirus","DS","RNA","non-enveloped",TRUE,TRUE,29210,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","eyach","virus",0,0,0,NA,NA,0
"ljungan","apodemus sylvaticus","PCR",2,"Salisbury et al. 2014","rodentia","muridae","apodemus","sylvaticus","picornavirales","picornaviridae",NA,"parechovirus","SS","RNA","non-enveloped",FALSE,TRUE,7613.5,0,1,1,2014,"ScientificPublicationDate_Earliest","virus","HP3","ljungan","virus",0,1,1,"enterovirus infection","fecal-oral, direct, respiratory",1
"louping ill","apodemus sylvaticus","Antibodies",0,"Gilbert et al. 2000","rodentia","muridae","apodemus","sylvaticus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10871,0,1,1,2000,"ScientificPublicationDate_Earliest","virus","HP3","louping ill","virus",1,1,1,"louping ill","food, vector",1
"lymphocytic choriomeningitis","apodemus sylvaticus","PCR",2,"Ledesma et al. 2009","rodentia","muridae","apodemus","sylvaticus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","lymphocytic choriomeningitis","virus",1,1,1,"lymphocytic choriomeningitis","direct, food, respiratory",1
"murid herpesvirus 1","apodemus sylvaticus","PCR",2,"Mistrikova & Blaskovis 1985","rodentia","muridae","apodemus","sylvaticus","herpesvirales","herpesviridae","betaherpesvirinae","muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,235000,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","murid herpesvirus 1","virus",0,0,0,NA,NA,0
"murid herpesvirus 2","apodemus sylvaticus","PCR",2,"Ehlers et al. 2007","rodentia","muridae","apodemus","sylvaticus","herpesvirales","herpesviridae","betaherpesvirinae","muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,230138,0,0,0,2007,"ScientificPublicationDate_Earliest","virus","HP3","murid herpesvirus 2","virus",0,0,0,NA,NA,0
"murid herpesvirus 4","apodemus sylvaticus","PCR",2,"Blasdell et al. 2003","rodentia","muridae","apodemus","sylvaticus","herpesvirales","herpesviridae","gammaherpesvirinae","rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,2003,"ScientificPublicationDate_Earliest","virus","HP3","murid herpesvirus 4","virus",0,0,0,NA,NA,0
"murine norovirus 1","apodemus sylvaticus","PCR",2,"Smith et al. 2012","rodentia","muridae","apodemus","sylvaticus","unassigned","caliciviridae",NA,"norovirus","SS","RNA","non-enveloped",FALSE,TRUE,7382,0,0,0,2012,"ScientificPublicationDate_Earliest","virus","HP3","murine norovirus 1","virus",0,0,0,NA,NA,0
"murine pneumonia","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","rodentia","muridae","apodemus","sylvaticus","mononegavirales","paramyxoviridae","pneumovirinae","pneumovirus","SS","RNA","enveloped",FALSE,TRUE,14885,0,1,0,1980,"ScientificPublicationDate_Earliest","virus","HP3","murine pneumonia","virus",0,0,0,NA,NA,1
"rabbit hemorrhagic disease","apodemus sylvaticus","PCR",2,"Merchan et al. 2011","rodentia","muridae","apodemus","sylvaticus","unassigned","caliciviridae",NA,"lagovirus","SS","RNA","non-enveloped",FALSE,TRUE,7437,0,0,0,2011,"ScientificPublicationDate_Earliest","virus","HP3","rabbit hemorrhagic disease","virus",0,0,0,NA,NA,0
"sendai","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","rodentia","muridae","apodemus","sylvaticus","mononegavirales","paramyxoviridae","paramyxovirinae","respirovirus","SS","RNA","enveloped",FALSE,TRUE,15384,0,0,0,1980,"ScientificPublicationDate_Earliest","virus","HP3","sendai","virus",0,0,0,NA,NA,0
"theilovirus","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","rodentia","muridae","apodemus","sylvaticus","picornavirales","picornaviridae",NA,"cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,8101,0,0,0,1980,"ScientificPublicationDate_Earliest","virus","HP3","theilovirus","virus",0,0,0,NA,NA,0
"thiafora","apodemus sylvaticus","Antibodies",0,"Woessner et al. 2000","rodentia","muridae","apodemus","sylvaticus","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","thiafora","virus",0,0,0,NA,NA,1
"tick-borne encephalitis","apodemus sylvaticus","Isolation",2,"Kozuch et al. 1995","rodentia","muridae","apodemus","sylvaticus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","tick-borne encephalitis","virus",1,1,1,"tick-borne encephalitis","vector, food",1
"uukuniemi","apodemus sylvaticus","Antibodies",0,"Traavik et al. 1977","rodentia","muridae","apodemus","sylvaticus","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11372,0,1,0,1977,"ScientificPublicationDate_Earliest","virus","HP3","uukuniemi","virus",0,0,0,NA,NA,1
"tula","apodemus uralensis","antigen",0,"Heroldova et al. 2010","rodentia","muridae","apodemus","uralensis","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12066,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","tula","virus",0,1,1,"old world hantavirus","respiratory, fluid, environment",1
"influenza a","arctocephalus australis","Antibodies",0,"Blanc et al. 2009","carnivora","otariidae","arctocephalus","australis","unassigned","orthomyxoviridae",NA,"influenzavirus a","SS","RNA","enveloped",TRUE,TRUE,13444.6,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","influenza a","virus",1,1,1,"influenza","respiratory, direct",1
"dengue","artibeus cinereus","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","artibeus","cinereus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","dengue","virus",1,1,1,"dengue","vector, direct",1
"ilheus","artibeus cinereus","Antibodies",0,"Price et al. 1978","chiroptera","phyllostomidae","artibeus","cinereus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","ilheus","virus",1,1,1,"ilheus","vector",1
"rabies","artibeus cinereus","Antibodies",0,"Price & Everard 1977","chiroptera","phyllostomidae","artibeus","cinereus","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1977,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
"yellow fever","artibeus cinereus","Antibodies",0,"Price 1978","chiroptera","phyllostomidae","artibeus","cinereus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","yellow fever","virus",1,1,1,"yellow fever","vector, fluids",1
"rabies","artibeus fimbriatus","Isolation",2,"Cunha et al. 2005","chiroptera","phyllostomidae","artibeus","fimbriatus","mononegavirales","rhabdoviridae",NA,"lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2005,"ScientificPublicationDate_Earliest","virus","HP3","rabies","virus",1,1,1,"rabies","direct, bite",1
