HostOriginal,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass,ManualResolved_Note
marmota marmota,9993,TRUE,Marmota marmota,Marmota,Sciuridae,Rodentia,Mammalia,
marmota monax,9995,TRUE,Marmota monax,Marmota,Sciuridae,Rodentia,Mammalia,
marmota sibirica,93166,TRUE,Marmota sibirica,Marmota,Sciuridae,Rodentia,Mammalia,
martes americana,9660,TRUE,Martes americana,Martes,Mustelidae,Carnivora,Mammalia,
martes caurina,9660,TRUE,Martes americana,Martes,Mustelidae,Carnivora,Mammalia,
martes foina,9659,TRUE,Martes foina,Martes,Mustelidae,Carnivora,Mammalia,
martes martes,29065,TRUE,Martes martes,Martes,Mustelidae,Carnivora,Mammalia,
martes melampus,36721,TRUE,Martes melampus,Martes,Mustelidae,Carnivora,Mammalia,
martes pennanti,76720,TRUE,Martes pennanti,Martes,Mustelidae,Carnivora,Mammalia,
martes zibellina,36722,TRUE,Martes zibellina,Martes,Mustelidae,Carnivora,Mammalia,
mastomys coucha,35658,TRUE,Mastomys coucha,Mastomys,Muridae,Rodentia,Mammalia,
mastomys erythroleucus,41268,TRUE,Mastomys erythroleucus,Mastomys,Muridae,Rodentia,Mammalia,
mastomys huberti,121569,TRUE,Mastomys huberti,Mastomys,Muridae,Rodentia,Mammalia,
mastomys natalensis,10112,TRUE,Mastomys natalensis,Mastomys,Muridae,Rodentia,Mammalia,
mauremys mutica,74926,TRUE,Mauremys mutica,Mauremys,Geoemydidae,Testudines,NA,
maxomys surifer,69081,TRUE,Maxomys surifer,Maxomys,Muridae,Rodentia,Mammalia,
