Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
arcanobacterium haemolyticum,Bacteria,corynebacterium haemolyticum,TRUE,arcanobacterium haemolyticum,arcanobacterium haemolyticum
arcanobacterium hippocoleae,Bacteria,,FALSE,arcanobacterium hippocoleae,arcanobacterium hippocoleae
arcanobacterium phocae,Bacteria,,TRUE,arcanobacterium phocae,arcanobacterium phocae
arcanobacterium phocisimile,Bacteria,,FALSE,arcanobacterium phocisimile,arcanobacterium phocisimile
arcanobacterium pluranimalium,Bacteria,,TRUE,arcanobacterium pluranimalium,arcanobacterium pluranimalium
arcobacter butzleri,Bacteria,campylobacter butzleri,TRUE,arcobacter butzleri,arcobacter butzleri
arcobacter cryaerophilus,Bacteria,campylobacter cryaerophilus; campylobacter cryaerophila,TRUE,arcobacter cryaerophilus,arcobacter cryaerophilus
arcobacter lanthieri,Bacteria,,FALSE,arcobacter lanthieri,arcobacter lanthieri
arcobacter skirrowii,Bacteria,,TRUE,arcobacter skirrowii,arcobacter skirrowii
arcobacter thereius,Bacteria,,FALSE,arcobacter thereius,arcobacter thereius
arcobacter trophiarum,Bacteria,,TRUE,arcobacter trophiarum,arcobacter trophiarum
arsenicicoccus dermatophilus,Bacteria,,FALSE,arsenicicoccus dermatophilus,arsenicicoccus dermatophilus
arsenicicoccus piscis,Bacteria,,FALSE,arsenicicoccus piscis,arsenicicoccus piscis
arthrobacter agilis,Bacteria,micrococcus agilis,FALSE,arthrobacter agilis,arthrobacter agilis
arthrobacter gandavensis,Bacteria,,FALSE,arthrobacter gandavensis,arthrobacter gandavensis
arthrobacter luteolus,Bacteria,,FALSE,arthrobacter luteolus,arthrobacter luteolus
arthrobacter nasiphocae,Bacteria,,FALSE,arthrobacter nasiphocae,arthrobacter nasiphocae
arthrobacter rhombi,Bacteria,,FALSE,arthrobacter rhombi,arthrobacter rhombi
arthrobacter sanguinis,Bacteria,,FALSE,arthrobacter sanguinis,arthrobacter sanguinis
arthrobacter woluwensis,Bacteria,,TRUE,arthrobacter woluwensis,arthrobacter woluwensis
asaccharobacter celatus,Bacteria,,FALSE,asaccharobacter celatus,asaccharobacter celatus
asaia bogorensis,Bacteria,,TRUE,asaia bogorensis,asaia bogorensis
asaia lannensis,Bacteria,,FALSE,asaia lannensis,asaia lannensis
atlantibacter hermannii,Bacteria,escherichia hermannii,FALSE,atlantibacter hermannii,atlantibacter hermannii
atopobacter phocae,Bacteria,,FALSE,atopobacter phocae,atopobacter phocae
atopobium deltae,Bacteria,,FALSE,atopobium deltae,atopobium deltae
atopobium fossor,Bacteria,eubacterium fossor,FALSE,atopobium fossor,atopobium fossor
atopobium minutum,Bacteria,lactobacillus minutus; lactobacillus minutum; bacteroides minutum,FALSE,atopobium minutum,atopobium minutum
atopobium parvulum,Bacteria,streptococcus parvulus; peptostreptococcus parvulus,TRUE,atopobium parvulum,atopobium parvulum
atopobium rimae,Bacteria,lactobacillus rimae,TRUE,atopobium rimae,atopobium rimae
atopobium vaginae,Bacteria,,TRUE,atopobium vaginae,atopobium vaginae
aureimonas altamirensis,Bacteria,aurantimonas altamirensis,FALSE,aureimonas altamirensis,aureimonas altamirensis
auritidibacter ignavus,Bacteria,,FALSE,auritidibacter ignavus,auritidibacter ignavus
austwickia chelonae,Bacteria,dermatophilus chelonae,FALSE,austwickia chelonae,austwickia chelonae
avibacterium avium,Bacteria,pasteurella avium; haemophilus avium,FALSE,avibacterium avium,avibacterium avium
avibacterium endocarditidis,Bacteria,bisgaard taxon 50,TRUE,avibacterium endocarditidis,avibacterium endocarditidis
avibacterium gallinarum,Bacteria,pasteurella gallinarum,TRUE,avibacterium gallinarum,avibacterium gallinarum
avibacterium paragallinarum,Bacteria,[haemophilus] paragallinarum; haemophilus paragallinarum; haemophilus gallinarum,TRUE,avibacterium paragallinarum,avibacterium paragallinarum
avibacterium volantium,Bacteria,pasteurella volantium,TRUE,avibacterium volantium,avibacterium volantium
azospirillum brasilense,Bacteria,"spirillum lipoferum; roseomonas fauriae; azospirillum brasiliense, etc.",FALSE,azospirillum brasilense,azospirillum brasilense
azospirillum spp,Bacteria,roseomonas genomospecies 6,FALSE,azospirillum spp,azospirillum spp
bacillus anthracis,Bacteria,bacteridium anthracis; bacillus cereus var. anthracis,TRUE,bacillus anthracis,bacillus anthracis
bacillus badius,Bacteria,,FALSE,bacillus badius,bacillus badius
bacillus cereus,Bacteria,bacillus medusa; bacillus endorhythmos,TRUE,bacillus cereus,bacillus cereus
bacillus circulans,Bacteria,,TRUE,bacillus circulans,bacillus circulans
bacillus coagulans,Bacteria,,TRUE,bacillus coagulans,bacillus coagulans
bacillus cytotoxicus,Bacteria,bacillus cytotoxis,FALSE,bacillus cytotoxicus,bacillus cytotoxicus
bacillus idriensis,Bacteria,,FALSE,bacillus idriensis,bacillus idriensis
bacillus infantis,Bacteria,,TRUE,bacillus infantis,bacillus infantis
bacillus licheniformis,Bacteria,denitrobacillus licheniformis; clostridium licheniforme,TRUE,bacillus licheniformis,bacillus licheniformis
bacillus mycoides,Bacteria,,TRUE,bacillus mycoides,bacillus mycoides
bacillus oleronius,Bacteria,,FALSE,bacillus oleronius,bacillus oleronius
bacillus pumilus,Bacteria,bacillus aminoglucosidicus,TRUE,bacillus pumilus,bacillus pumilus
bacillus subtilis,Bacteria,"vibrio subtilis; bacillus uniflagellatus; bacillus sp. he08, etc.",TRUE,bacillus subtilis,bacillus subtilis
bacillus thuringiensis,Bacteria,bacillus cereus var. thuringiensis,TRUE,bacillus thuringiensis,bacillus thuringiensis
bacillus xiamenensis,Bacteria,bacillus sphaericus,FALSE,bacillus xiamenensis,bacillus xiamenensis
bacteroides acidifaciens,Bacteria,,FALSE,bacteroides acidifaciens,bacteroides acidifaciens
bacteroides barnesiae,Bacteria,,FALSE,bacteroides barnesiae,bacteroides barnesiae
bacteroides caccae,Bacteria,,TRUE,bacteroides caccae,bacteroides caccae
bacteroides cellulosilyticus,Bacteria,,FALSE,bacteroides cellulosilyticus,bacteroides cellulosilyticus
bacteroides clarus,Bacteria,,TRUE,bacteroides clarus,bacteroides clarus
bacteroides coprocola,Bacteria,,TRUE,bacteroides coprocola,bacteroides coprocola
bacteroides coprophilus,Bacteria,,FALSE,bacteroides coprophilus,bacteroides coprophilus
bacteroides dorei,Bacteria,,TRUE,bacteroides dorei,bacteroides dorei
bacteroides eggerthii,Bacteria,,TRUE,bacteroides eggerthii,bacteroides eggerthii
bacteroides faecichinchillae,Bacteria,,FALSE,bacteroides faecichinchillae,bacteroides faecichinchillae
bacteroides faecis,Bacteria,,FALSE,bacteroides faecis,bacteroides faecis
bacteroides finegoldii,Bacteria,,TRUE,bacteroides finegoldii,bacteroides finegoldii
bacteroides fluxus,Bacteria,,TRUE,bacteroides fluxus,bacteroides fluxus
bacteroides fragilis,Bacteria,"sphaerophorus intermedius; sphaerophorus inaequalis; ristella uncata, etc.",TRUE,bacteroides fragilis,bacteroides fragilis
bacteroides galacturonicus,Bacteria,,FALSE,bacteroides galacturonicus,bacteroides galacturonicus
bacteroides gallinarum,Bacteria,,FALSE,bacteroides gallinarum,bacteroides gallinarum
bacteroides helcogenes,Bacteria,,TRUE,bacteroides helcogenes,bacteroides helcogenes
bacteroides heparinolyticus,Bacteria,prevotella heparinolytica; prevotella heparinolyticus,TRUE,bacteroides heparinolyticus,bacteroides heparinolyticus
bacteroides intestinalis,Bacteria,,FALSE,bacteroides intestinalis,bacteroides intestinalis
bacteroides massiliensis,Bacteria,,FALSE,bacteroides massiliensis,bacteroides massiliensis
bacteroides nordii,Bacteria,,FALSE,bacteroides nordii,bacteroides nordii
bacteroides oleiciplenus,Bacteria,,FALSE,bacteroides oleiciplenus,bacteroides oleiciplenus
bacteroides ovatus,Bacteria,pseudobacterium ovatum; pasteurella ovata; bacteroides fragilis subsp. ovatus,TRUE,bacteroides ovatus,bacteroides ovatus
bacteroides plebeius,Bacteria,,FALSE,bacteroides plebeius,bacteroides plebeius
bacteroides pyogenes,Bacteria,bacteroides tectus; bacteroides tectum; bacteroides suis,TRUE,bacteroides pyogenes,bacteroides pyogenes
bacteroides rodentium,Bacteria,,TRUE,bacteroides rodentium,bacteroides rodentium
bacteroides salanitronis,Bacteria,,TRUE,bacteroides salanitronis,bacteroides salanitronis
bacteroides salyersiae,Bacteria,bacteroides salyersae,FALSE,bacteroides salyersiae,bacteroides salyersiae
bacteroides sartorii,Bacteria,bacteroides chinchillae,TRUE,bacteroides sartorii,bacteroides sartorii
bacteroides stercorirosoris,Bacteria,,FALSE,bacteroides stercorirosoris,bacteroides stercorirosoris
bacteroides stercoris,Bacteria,,TRUE,bacteroides stercoris,bacteroides stercoris
bacteroides thetaiotaomicron,Bacteria,"sphaerocillus thetaiotaomicron; pseudobacterium thetaiotaomicron; bacteroides fragilis subsp. thetaiotaomicron, etc.",TRUE,bacteroides thetaiotaomicron,bacteroides thetaiotaomicron
bacteroides uniformis,Bacteria,,TRUE,bacteroides uniformis,bacteroides uniformis
bacteroides vulgatus,Bacteria,,TRUE,bacteroides vulgatus,bacteroides vulgatus
bacteroides xylanisolvens,Bacteria,,TRUE,bacteroides xylanisolvens,bacteroides xylanisolvens
bacteroides zoogleoformans,Bacteria,"prevotella zoogleoformans; capsularis zoogleoformans; bacterium zoogleiformans, etc.",FALSE,bacteroides zoogleoformans,bacteroides zoogleoformans
balneatrix alpica,Bacteria,,FALSE,balneatrix alpica,balneatrix alpica
barnesiella intestinihominis,Bacteria,,FALSE,barnesiella intestinihominis,barnesiella intestinihominis
barnesiella viscericola,Bacteria,,FALSE,barnesiella viscericola,barnesiella viscericola
bartonella acomydis,Bacteria,,FALSE,bartonella acomydis,bartonella acomydis
bartonella alsatica,Bacteria,,TRUE,bartonella alsatica,bartonella alsatica
bartonella ancashensis,Bacteria,candidatus bartonella ancashi,FALSE,bartonella ancashensis,bartonella ancashensis
bartonella bacilliformis,Bacteria,bartonia bacilliformis,TRUE,bartonella bacilliformis,bartonella bacilliformis
bartonella bovis,Bacteria,bartonella weissii,TRUE,bartonella bovis,bartonella bovis
bartonella callosciuri,Bacteria,,FALSE,bartonella callosciuri,bartonella callosciuri
bartonella capreoli,Bacteria,,TRUE,bartonella capreoli,bartonella capreoli
bartonella chomelii,Bacteria,,TRUE,bartonella chomelii,bartonella chomelii
bartonella clarridgeiae,Bacteria,,TRUE,bartonella clarridgeiae,bartonella clarridgeiae
bartonella coopersplainsensis,Bacteria,,FALSE,bartonella coopersplainsensis,bartonella coopersplainsensis
bartonella doshiae,Bacteria,,TRUE,bartonella doshiae,bartonella doshiae
bartonella elizabethae,Bacteria,rochalimaea elizabethae,TRUE,bartonella elizabethae,bartonella elizabethae
bartonella florencae,Bacteria,bartonella florenciae,FALSE,bartonella florencae,bartonella florencae
bartonella grahamii,Bacteria,,TRUE,bartonella grahamii,bartonella grahamii
bartonella henselae,Bacteria,rochalimaea henselae,TRUE,bartonella henselae,bartonella henselae
bartonella jaculi,Bacteria,,FALSE,bartonella jaculi,bartonella jaculi
bartonella japonica,Bacteria,,TRUE,bartonella japonica,bartonella japonica
bartonella koehlerae,Bacteria,,FALSE,bartonella koehlerae,bartonella koehlerae
bartonella melophagi,Bacteria,candidatus bartonella melophagi,FALSE,bartonella melophagi,bartonella melophagi
bartonella pachyuromydis,Bacteria,,FALSE,bartonella pachyuromydis,bartonella pachyuromydis
bartonella peromysci,Bacteria,grahamella peromysci,FALSE,bartonella peromysci,bartonella peromysci
bartonella phoceensis,Bacteria,,FALSE,bartonella phoceensis,bartonella phoceensis
bartonella queenslandensis,Bacteria,,TRUE,bartonella queenslandensis,bartonella queenslandensis
bartonella quintana,Bacteria,wolhynia qintanae; rochalimaea quintana; rickettsia wolhynica,TRUE,bartonella quintana,bartonella quintana
bartonella rattaustraliani,Bacteria,,FALSE,bartonella rattaustraliani,bartonella rattaustraliani
bartonella rattimassiliensis,Bacteria,,FALSE,bartonella rattimassiliensis,bartonella rattimassiliensis
bartonella rochalimae,Bacteria,,TRUE,bartonella rochalimae,bartonella rochalimae
bartonella schoenbuchensis,Bacteria,bartonella schoenbuchii,TRUE,bartonella schoenbuchensis,bartonella schoenbuchensis
bartonella tamiae,Bacteria,,TRUE,bartonella tamiae,bartonella tamiae
bartonella taylorii,Bacteria,,TRUE,bartonella taylorii,bartonella taylorii
bartonella tribocorum,Bacteria,,TRUE,bartonella tribocorum,bartonella tribocorum
bartonella vinsonii,Bacteria,rochalimaea vinsonii,TRUE,bartonella vinsonii,bartonella vinsonii
bartonella washoensis,Bacteria,,TRUE,bartonella washoensis,bartonella washoensis
basilea psittacipulmonis,Bacteria,,FALSE,basilea psittacipulmonis,basilea psittacipulmonis
bergeriella denitrificans,Bacteria,neisseria denitrificans,FALSE,bergeriella denitrificans,bergeriella denitrificans
bergeyella zoohelcum,Bacteria,group iij; weeksella zoohelcum,TRUE,bergeyella zoohelcum,bergeyella zoohelcum
bibersteinia trehalosi,Bacteria,pasteurella trehalosi; pasteurella haemolytica biovar t,TRUE,bibersteinia trehalosi,bibersteinia trehalosi
bifidobacterium adolescentis,Bacteria,bifidobacterium stercoris,TRUE,bifidobacterium adolescentis,bifidobacterium adolescentis
bifidobacterium aesculapii,Bacteria,,FALSE,bifidobacterium aesculapii,bifidobacterium aesculapii
bifidobacterium angulatum,Bacteria,,FALSE,bifidobacterium angulatum,bifidobacterium angulatum
bifidobacterium biavatii,Bacteria,,FALSE,bifidobacterium biavatii,bifidobacterium biavatii
bifidobacterium callitrichos,Bacteria,,FALSE,bifidobacterium callitrichos,bifidobacterium callitrichos
bifidobacterium catenulatum,Bacteria,,TRUE,bifidobacterium catenulatum,bifidobacterium catenulatum
bifidobacterium cuniculi,Bacteria,,FALSE,bifidobacterium cuniculi,bifidobacterium cuniculi
bifidobacterium dentium,Bacteria,actinomyces eriksonii,TRUE,bifidobacterium dentium,bifidobacterium dentium
bifidobacterium faecale,Bacteria,,FALSE,bifidobacterium faecale,bifidobacterium faecale
bifidobacterium gallicum,Bacteria,,FALSE,bifidobacterium gallicum,bifidobacterium gallicum
bifidobacterium gallinarum,Bacteria,,FALSE,bifidobacterium gallinarum,bifidobacterium gallinarum
bifidobacterium hapali,Bacteria,,FALSE,bifidobacterium hapali,bifidobacterium hapali
bifidobacterium kashiwanohense,Bacteria,,TRUE,bifidobacterium kashiwanohense,bifidobacterium kashiwanohense
bifidobacterium lemurum,Bacteria,,FALSE,bifidobacterium lemurum,bifidobacterium lemurum
bifidobacterium longum,Bacteria,bifidobacterium suis; bifidobacterium longum biovar suis,TRUE,bifidobacterium longum,bifidobacterium longum
bifidobacterium magnum,Bacteria,,FALSE,bifidobacterium magnum,bifidobacterium magnum
bifidobacterium merycicum,Bacteria,,FALSE,bifidobacterium merycicum,bifidobacterium merycicum
bifidobacterium moukalabense,Bacteria,,FALSE,bifidobacterium moukalabense,bifidobacterium moukalabense
bifidobacterium myosotis,Bacteria,,FALSE,bifidobacterium myosotis,bifidobacterium myosotis
bifidobacterium pseudocatenulatum,Bacteria,,TRUE,bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum
bifidobacterium psychraerophilum,Bacteria,,FALSE,bifidobacterium psychraerophilum,bifidobacterium psychraerophilum
bifidobacterium pullorum,Bacteria,,FALSE,bifidobacterium pullorum,bifidobacterium pullorum
bifidobacterium reuteri,Bacteria,,FALSE,bifidobacterium reuteri,bifidobacterium reuteri
bifidobacterium ruminantium,Bacteria,,FALSE,bifidobacterium ruminantium,bifidobacterium ruminantium
bifidobacterium saeculare,Bacteria,,FALSE,bifidobacterium saeculare,bifidobacterium saeculare
bifidobacterium saguini,Bacteria,,FALSE,bifidobacterium saguini,bifidobacterium saguini
bifidobacterium scardovii,Bacteria,,TRUE,bifidobacterium scardovii,bifidobacterium scardovii
bifidobacterium stellenboschense,Bacteria,,FALSE,bifidobacterium stellenboschense,bifidobacterium stellenboschense
bifidobacterium thermacidophilum,Bacteria,,FALSE,bifidobacterium thermacidophilum,bifidobacterium thermacidophilum
bifidobacterium tissieri,Bacteria,,FALSE,bifidobacterium tissieri,bifidobacterium tissieri
bifidobacterium tsurumiense,Bacteria,,FALSE,bifidobacterium tsurumiense,bifidobacterium tsurumiense
bilophila wadsworthia,Bacteria,,TRUE,bilophila wadsworthia,bilophila wadsworthia
bisgaardia hudsonensis,Bacteria,,FALSE,bisgaardia hudsonensis,bisgaardia hudsonensis
bisgaardia miroungae,Bacteria,,FALSE,bisgaardia miroungae,bisgaardia miroungae
blautia coccoides,Bacteria,clostridium coccoides,FALSE,blautia coccoides,blautia coccoides
blautia faecis,Bacteria,,FALSE,blautia faecis,blautia faecis
blautia hansenii,Bacteria,streptococcus hansenii; ruminococcus hansenii,FALSE,blautia hansenii,blautia hansenii
blautia hydrogenotrophica,Bacteria,ruminococcus hydrogenotrophicus,FALSE,blautia hydrogenotrophica,blautia hydrogenotrophica
blautia luti,Bacteria,ruminococcus luti,FALSE,blautia luti,blautia luti
blautia obeum,Bacteria,ruminococcus obeum,FALSE,blautia obeum,blautia obeum
blautia producta,Bacteria,streptococcus productus; ruminococcus productus; peptostreptococcus productus,TRUE,blautia producta,blautia producta
blautia schinkii,Bacteria,ruminococcus schinkii,FALSE,blautia schinkii,blautia schinkii
blautia stercoris,Bacteria,,FALSE,blautia stercoris,blautia stercoris
blautia wexlerae,Bacteria,,TRUE,blautia wexlerae,blautia wexlerae
bordetella avium,Bacteria,,TRUE,bordetella avium,bordetella avium
bordetella bronchialis,Bacteria,bordetella genomosp. 3; bordetella genogroup 3,FALSE,bordetella bronchialis,bordetella bronchialis
bordetella bronchiseptica,Bacteria,"haemophilus bronchisepticus; brucella bronchispetica; bacterium bronchisepticus, etc.",TRUE,bordetella bronchiseptica,bordetella bronchiseptica
bordetella flabilis,Bacteria,,FALSE,bordetella flabilis,bordetella flabilis
bordetella hinzii,Bacteria,,TRUE,bordetella hinzii,bordetella hinzii
bordetella holmesii,Bacteria,cdc nonoxidizer group 2 (no-2),TRUE,bordetella holmesii,bordetella holmesii
bordetella parapertussis,Bacteria,haemophilus parapertussis; bacillus parapertussis; acinetobacter parapertussis ,TRUE,bordetella parapertussis,bordetella parapertussis
bordetella pertussis,Bacteria,"microbe de la coqueluche; hemophilus pertussis; haemophilus pertussis, etc.",TRUE,bordetella pertussis,bordetella pertussis
bordetella petrii,Bacteria,,TRUE,bordetella petrii,bordetella petrii
bordetella sputigena,Bacteria,bordetella genomosp. 14,FALSE,bordetella sputigena,bordetella sputigena
bordetella trematum,Bacteria,,TRUE,bordetella trematum,bordetella trematum
borrelia anserina,Bacteria,spiroschaudinnia anserina; spirochaete gallinarum; spirochaeta anserina,FALSE,borrelia anserina,borrelia anserina
borrelia brasiliensis,Bacteria,,FALSE,borrelia brasiliensis,borrelia brasiliensis
borrelia caucasica,Bacteria,,FALSE,borrelia caucasica,borrelia caucasica
borrelia coriaceae,Bacteria,,TRUE,borrelia coriaceae,borrelia coriaceae
borrelia crocidurae,Bacteria,spirochaeta crocidurae,TRUE,borrelia crocidurae,borrelia crocidurae
borrelia duttonii,Bacteria,spirochaeta duttoni; spirillum duttoni,TRUE,borrelia duttonii,borrelia duttonii
borrelia hermsii,Bacteria,spirochaeta hermsi,TRUE,borrelia hermsii,borrelia hermsii
borrelia hispanica,Bacteria,spirochaeta hispanica,TRUE,borrelia hispanica,borrelia hispanica
borrelia latyschewii,Bacteria,spirochaeta latyschewi,FALSE,borrelia latyschewii,borrelia latyschewii
borrelia mazzottii,Bacteria,,FALSE,borrelia mazzottii,borrelia mazzottii
