Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
aeromonas bestiarum,Bacteria,aeromonas hydrophila genomospecies 2; aeromonas dna hybridization group 3,TRUE,aeromonas bestiarum,aeromonas bestiarum
aeromonas caviae,Bacteria,"aeromonas punctata; pseudomonas caviae; bacillus punctatus, etc.",TRUE,aeromonas caviae,aeromonas caviae
aeromonas dhakensis,Bacteria,aeromonas hydrophila subsp. dhakensis; aeromonas aquariorum,FALSE,aeromonas dhakensis,aeromonas dhakensis
aeromonas diversa,Bacteria,aeromonas sp. hg13; aeromonas sp. g501,FALSE,aeromonas diversa,aeromonas diversa
aeromonas encheleia,Bacteria,,TRUE,aeromonas encheleia,aeromonas encheleia
aeromonas enteropelogenes,Bacteria,aeromonas trota; aeromonas tructi,TRUE,aeromonas enteropelogenes,aeromonas enteropelogenes
aeromonas hydrophila,Bacteria,"pseudomonas hydrophila; proteus ichthyosmius; bacterium hydrophilum, etc.",TRUE,aeromonas hydrophila,aeromonas hydrophila
aeromonas jandaei,Bacteria,genospecies dna group 9 a. sobria,TRUE,aeromonas jandaei,aeromonas jandaei
aeromonas piscicola,Bacteria,,TRUE,aeromonas piscicola,aeromonas piscicola
aeromonas salmonicida,Bacteria,proteus salmonicida; bacterium salmonicida; bacillus salmonicida,TRUE,aeromonas salmonicida,aeromonas salmonicida
aeromonas sanarellii,Bacteria,,FALSE,aeromonas sanarellii,aeromonas sanarellii
aeromonas schubertii,Bacteria,enteric group 501; aeromonas hybridization group 13,FALSE,aeromonas schubertii,aeromonas schubertii
aeromonas schubertii,Bacteria,enteric group 501; aeromonas hybridization group 12,FALSE,aeromonas schubertii,aeromonas schubertii
aeromonas simiae,Bacteria,,TRUE,aeromonas simiae,aeromonas simiae
aeromonas sobria,Bacteria,aeromonas hybridization group 7,TRUE,aeromonas sobria,aeromonas sobria
aeromonas taiwanensis,Bacteria,,FALSE,aeromonas taiwanensis,aeromonas taiwanensis
aeromonas tecta,Bacteria,,TRUE,aeromonas tecta,aeromonas tecta
aeromonas veronii,Bacteria,"aeromonas ichthiosmia; enteric group 77; aeromonas hybridization group 10, etc.",TRUE,aeromonas veronii,aeromonas veronii
afipia broomeae,Bacteria,,FALSE,afipia broomeae,afipia broomeae
afipia clevelandensis,Bacteria,,FALSE,afipia clevelandensis,afipia clevelandensis
afipia felis,Bacteria,,FALSE,afipia felis,afipia felis
aggregatibacter actinomycetemcomitans,Bacteria,"haemophilus actinomyceticomitans; bacterium comitans; actinobacillus actinomycetemcomitans, etc.",TRUE,aggregatibacter actinomycetemcomitans,aggregatibacter actinomycetemcomitans
aggregatibacter aphrophilus,Bacteria,haemophilus paraphrophilus; haemophilus aphrophilus,TRUE,aggregatibacter aphrophilus,aggregatibacter aphrophilus
aggregatibacter segnis,Bacteria,haemophilus segnis,TRUE,aggregatibacter segnis,aggregatibacter segnis
agrobacterium tumefaciens,Bacteria,"agrobacterium radiobacter; rhizobium radiobacter; pseudomonas tumefaciens, etc.",TRUE,agrobacterium tumefaciens,agrobacterium tumefaciens
alcaligenes faecalis,Bacteria,"alcaligenes odorans; pseuodomonas odorans; bacillus fecalis alcaligenes, etc.",TRUE,alcaligenes faecalis,alcaligenes faecalis
aliivibrio salmonicida,Bacteria,vibrio salmonicida,TRUE,aliivibrio salmonicida,aliivibrio salmonicida
aliivibrio wodanis,Bacteria,vibrio wodanis,TRUE,aliivibrio wodanis,aliivibrio wodanis
alishewanella fetalis,Bacteria,,FALSE,alishewanella fetalis,alishewanella fetalis
alistipes finegoldii,Bacteria,,FALSE,alistipes finegoldii,alistipes finegoldii
alistipes indistinctus,Bacteria,,FALSE,alistipes indistinctus,alistipes indistinctus
alistipes onderdonkii,Bacteria,,TRUE,alistipes onderdonkii,alistipes onderdonkii
alistipes putredinis,Bacteria,"ristella putredinis; pseudobacterium putredinis; bacteroides putredinis, etc.",FALSE,alistipes putredinis,alistipes putredinis
alistipes shahii,Bacteria,,TRUE,alistipes shahii,alistipes shahii
alistipes timonensis,Bacteria,,FALSE,alistipes timonensis,alistipes timonensis
allisonella histaminiformans,Bacteria,,FALSE,allisonella histaminiformans,allisonella histaminiformans
allofustis seminis,Bacteria,,TRUE,allofustis seminis,allofustis seminis
alloiococcus otitis,Bacteria,alloiococcus otitidis,TRUE,alloiococcus otitis,alloiococcus otitis
allomonas enterica,Bacteria,,FALSE,allomonas enterica,allomonas enterica
alloprevotella rava,Bacteria,prevotella sp. oral taxon 302,FALSE,alloprevotella rava,alloprevotella rava
alloprevotella tannerae,Bacteria,prevotella tannerae,FALSE,alloprevotella tannerae,alloprevotella tannerae
alloscardovia criceti,Bacteria,metascardovia criceti,FALSE,alloscardovia criceti,alloscardovia criceti
alloscardovia macacae,Bacteria,,FALSE,alloscardovia macacae,alloscardovia macacae
alloscardovia omnicolens,Bacteria,,FALSE,alloscardovia omnicolens,alloscardovia omnicolens
alysiella crassa,Bacteria,simonsiella crassa; caryophanon crassa,FALSE,alysiella crassa,alysiella crassa
alysiella filiformis,Bacteria,simonsiella filiformis; caryophanon filiformis,FALSE,alysiella filiformis,alysiella filiformis
amphritea ceti,Bacteria,,FALSE,amphritea ceti,amphritea ceti
amycolatopsis benzoatilytica,Bacteria,,FALSE,amycolatopsis benzoatilytica,amycolatopsis benzoatilytica
amycolatopsis kentuckyensis,Bacteria,,FALSE,amycolatopsis kentuckyensis,amycolatopsis kentuckyensis
amycolatopsis lexingtonensis,Bacteria,,FALSE,amycolatopsis lexingtonensis,amycolatopsis lexingtonensis
amycolatopsis orientalis,Bacteria,streptomyces orientalis; nocardia orientalis,FALSE,amycolatopsis orientalis,amycolatopsis orientalis
