name,exact,type,order,class,family,genus,species
tupaia paramyxovirus,true,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Narmovirus,Tupaia narmovirus
tupaiid herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Tupaiid betaherpesvirus 1
ungulate bocaparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 1
ungulate bocaparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 2
ungulate bocaparvovirus 3,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 3
ungulate bocaparvovirus 4,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 4
ungulate bocaparvovirus 5,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 5
ungulate copiparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Copiparvovirus,Ungulate copiparvovirus 1
ungulate copiparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Copiparvovirus,Ungulate copiparvovirus 2
ungulate erythroparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Ungulate erythroparvovirus 1
ungulate protoparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Ungulate protoparvovirus 1
ungulate tetraparvovirus 1,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 1
ungulate tetraparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 2
ungulate tetraparvovirus 3,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 3
ungulate tetraparvovirus 4,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Tetraparvovirus,Ungulate tetraparvovirus 4
upsilonpapillomavirus 1,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus 1
upsilonpapillomavirus 3,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Upsilonpapillomavirus,Upsilonpapillomavirus 3
walrus calicivirus,true,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Vesivirus,Vesicular exanthema of swine virus
zaire ebolavirus,true,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Zaire ebolavirus
